V(V),I(A)
-10.0,-2.24e-06
-9.8,-3.38e-06
-9.6,-3.54e-06
-9.4,-3.51e-06
-9.2,-3.48e-06
-9.0,-3.45e-06
-8.8,-3.41e-06
-8.6,-3.38e-06
-8.4,-3.34e-06
-8.2,-3.31e-06
-8.0,-3.28e-06
-7.8,-3.24e-06
-7.6,-3.2e-06
-7.4,-3.17e-06
-7.2,-3.13e-06
-7.0,-3.1e-06
-6.8,-3.06e-06
-6.6,-3.02e-06
-6.4,-2.98e-06
-6.2,-2.95e-06
-6.0,-2.91e-06
-5.8,-2.87e-06
-5.6,-2.83e-06
-5.4,-2.8e-06
-5.2,-2.76e-06
-5.0,-2.72e-06
-4.8,-2.68e-06
-4.6,-2.65e-06
-4.4,-2.61e-06
-4.2,-2.57e-06
-4.0,-2.53e-06
-3.8,-2.5e-06
-3.6,-2.46e-06
-3.4,-2.42e-06
-3.2,-2.39e-06
-3.0,-2.35e-06
-2.8,-2.31e-06
-2.6,-2.27e-06
-2.4,-2.24e-06
-2.2,-2.2e-06
-2.0,-2.16e-06
-1.8,-2.12e-06
-1.6,-2.09e-06
-1.4,-2.05e-06
-1.2,-2.01e-06
-1.0,-1.98e-06
-0.8,-1.94e-06
-0.6,-1.9e-06
-0.4,-1.86e-06
-0.2,-1.83e-06
0.0,-1.79e-06
0.2,-1.75e-06
0.4,-1.72e-06
0.6,-1.68e-06
0.8,-1.64e-06
1.0,-1.6e-06
1.2,-1.56e-06
1.4,-1.53e-06
1.6,-1.49e-06
1.8,-1.45e-06
2.0,-1.41e-06
2.2,-1.38e-06
2.4,-1.34e-06
2.6,-1.3e-06
2.8,-1.26e-06
3.0,-1.22e-06
3.2,-1.18e-06
3.4,-1.15e-06
3.6,-1.11e-06
3.8,-1.07e-06
4.0,-1.03e-06
4.2,-9.9e-07
4.4,-9.6e-07
4.6,-9.2e-07
4.8,-8.8e-07
5.0,-8.4e-07
5.2,-8e-07
5.4,-7.6e-07
5.6,-7.2e-07
5.8,-6.8e-07
6.0,-6.5e-07
6.2,-6.1e-07
6.4,-5.7e-07
6.6,-5.3e-07
6.8,-4.9e-07
7.0,-4.5e-07
7.2,-4.2e-07
7.4,-3.8e-07
7.6,-3.5e-07
7.8,-3.1e-07
8.0,-2.7e-07
8.2,-2.3e-07
8.4,-1.9e-07
8.6,-1.5e-07
8.8,-1.2e-07
9.0,-8e-08
9.2,-4e-08
9.4,0.0
9.6,3e-08
9.8,7e-08
10.0,1.1e-07
10.2,1.4e-07
10.4,1.7e-07
10.6,2.1e-07
10.8,2.5e-07
11.0,2.8e-07
11.2,3.2e-07
11.4,3.6e-07
11.6,3.9e-07
11.8,4.3e-07
12.0,4.7e-07
12.2,5e-07
12.4,5.4e-07
12.6,5.8e-07
12.8,6.1e-07
13.0,6.5e-07
13.2,6.9e-07
13.4,7.3e-07
13.6,7.6e-07
13.8,8e-07
14.0,8.4e-07
14.2,8.8e-07
14.4,9.2e-07
14.6,9.6e-07
14.8,1e-06
15.0,1.04e-06
15.2,1.08e-06
15.4,1.12e-06
15.6,1.17e-06
15.8,1.22e-06
16.0,1.27e-06
16.2,1.32e-06
16.4,1.37e-06
16.6,1.43e-06
16.8,1.49e-06
17.0,1.56e-06
17.2,1.64e-06
17.4,1.72e-06
17.6,1.81e-06
17.8,1.9e-06
18.0,2e-06
18.2,2.11e-06
18.4,2.22e-06
18.6,2.34e-06
18.8,2.46e-06
19.0,2.59e-06
19.2,2.72e-06
19.4,2.85e-06
19.6,2.98e-06
19.8,3.1e-06
20.0,3.23e-06
20.2,3.36e-06
20.4,3.48e-06
20.6,3.59e-06
20.8,3.71e-06
21.0,3.83e-06
21.2,3.95e-06
21.4,4.07e-06
21.6,4.2e-06
21.8,4.33e-06
22.0,4.49e-06
22.2,4.68e-06
22.4,4.91e-06
22.6,5.2e-06
22.8,5.55e-06
23.0,5.98e-06
23.2,6.49e-06
23.4,7.06e-06
23.6,7.7e-06
23.8,8.36e-06
24.0,9.06e-06
24.2,9.84e-06
24.4,1.067e-05
24.6,1.152e-05
24.8,1.24e-05
25.0,1.327e-05
25.2,1.416e-05
25.4,1.509e-05
25.6,1.608e-05
25.8,1.715e-05
26.0,1.829e-05
26.2,1.954e-05
26.8,2.39e-05
27.0,2.53e-05
27.2,2.72e-05
27.4,2.92e-05
27.6,3.15e-05
27.8,3.4e-05
28.0,3.66e-05
28.2,3.94e-05
28.4,4.24e-05
28.6,4.54e-05
28.8,4.86e-05
29.0,5.18e-05
29.2,5.52e-05
29.4,5.87e-05
29.6,6.22e-05
29.8,6.56e-05
30.0,6.92e-05
30.2,7.27e-05
30.4,7.62e-05
30.6,7.97e-05
30.8,8.33e-05
31.0,8.68e-05
31.2,9.01e-05
31.4,9.33e-05
31.6,9.64e-05
31.8,9.96e-05
32.0,0.0001027
32.2,0.000106
32.4,0.0001092
32.6,0.0001125
32.8,0.0001158
33.0,0.000119
33.2,0.0001221
33.4,0.0001252
33.6,0.0001283
33.8,0.0001314
34.0,0.0001344
34.2,0.0001373
34.4,0.0001403
34.6,0.0001433
34.8,0.0001463
35.0,0.0001493
35.2,0.0001522
35.4,0.0001551
35.6,0.000158
35.8,0.0001609
36.0,0.0001638
36.2,0.0001667
36.4,0.0001696
36.6,0.0001724
36.8,0.0001752
37.0,0.0001779
37.2,0.0001808
37.4,0.0001836
37.6,0.0001864
37.8,0.0001892
38.0,0.0001919
38.2,0.0001947
38.4,0.0001974
39.2,0.00021
39.4,0.000213
39.6,0.000215
39.8,0.000218
40.0,0.000221
