V(V),I(A)
-10.0,-8e-08
-9.8,-5.4e-07
-9.6,-5.5e-07
-9.4,-5.4e-07
-9.2,-5.3e-07
-9.0,-5.2e-07
-8.8,-5.1e-07
-8.6,-5.1e-07
-8.4,-5e-07
-8.2,-4.9e-07
-8.0,-4.8e-07
-7.8,-4.8e-07
-7.6,-4.7e-07
-7.4,-4.5e-07
-7.2,-4.5e-07
-7.0,-4.4e-07
-6.8,-4.3e-07
-6.6,-4.1e-07
-6.4,-4e-07
-6.2,-3.9e-07
-6.0,-3.8e-07
-5.8,-3.7e-07
-5.6,-3.6e-07
-5.4,-3.5e-07
-5.2,-3.4e-07
-5.0,-3.3e-07
-4.8,-3.2e-07
-4.6,-3.1e-07
-4.4,-3e-07
-4.2,-2.9e-07
-4.0,-2.8e-07
-3.8,-2.7e-07
-3.6,-2.6e-07
-3.4,-2.5e-07
-3.2,-2.3e-07
-3.0,-2.2e-07
-2.8,-2e-07
-2.6,-1.8e-07
-2.4,-1.6e-07
-2.2,-1.3e-07
-2.0,-1e-07
-1.8,-7e-08
-1.6,-3e-08
-1.4,1e-08
-1.2,6e-08
-1.0,1e-07
-0.8,1.5e-07
-0.6,2e-07
-0.4,2.4e-07
-0.2,2.9e-07
0.0,3.4e-07
0.2,3.8e-07
0.4,4.2e-07
0.6,4.6e-07
0.8,5e-07
1.0,5.5e-07
1.2,5.9e-07
1.4,6.2e-07
1.6,6.6e-07
1.8,7e-07
2.0,7.3e-07
2.2,7.7e-07
2.4,8.1e-07
2.6,8.7e-07
2.8,9.6e-07
3.0,1.1e-06
3.2,1.3e-06
3.4,1.56e-06
3.6,1.84e-06
3.8,2.16e-06
4.0,2.53e-06
4.2,2.96e-06
4.4,3.45e-06
4.6,4e-06
4.8,4.61e-06
5.0,5.31e-06
5.2,6.11e-06
5.4,7.01e-06
5.6,7.99e-06
5.8,9.08e-06
6.0,1.03e-05
6.2,1.167e-05
6.4,1.329e-05
6.6,1.515e-05
6.8,1.727e-05
7.0,1.962e-05
7.6,2.64e-05
7.8,2.83e-05
8.0,3.05e-05
8.2,3.26e-05
8.4,3.47e-05
8.6,3.67e-05
8.8,3.86e-05
9.0,4.06e-05
9.2,4.25e-05
9.4,4.43e-05
9.6,4.62e-05
9.8,4.8e-05
10.0,4.98e-05
10.2,5.15e-05
10.4,5.32e-05
10.6,5.49e-05
10.8,5.66e-05
11.0,5.83e-05
11.2,6e-05
11.4,6.16e-05
11.6,6.31e-05
11.8,6.47e-05
12.0,6.63e-05
12.2,6.78e-05
12.4,6.94e-05
12.6,7.09e-05
12.8,7.25e-05
13.0,7.39e-05
13.2,7.54e-05
13.4,7.68e-05
13.6,7.82e-05
13.8,7.96e-05
14.0,8.09e-05
14.2,8.22e-05
14.4,8.35e-05
14.6,8.48e-05
14.8,8.59e-05
15.0,8.71e-05
15.2,8.82e-05
15.4,8.94e-05
15.6,9.05e-05
15.8,9.16e-05
16.0,9.27e-05
16.2,9.38e-05
16.4,9.48e-05
16.6,9.59e-05
16.8,9.7e-05
17.0,9.8e-05
17.2,9.91e-05
17.4,0.0001002
17.6,0.0001013
17.8,0.0001024
18.0,0.0001036
18.2,0.0001047
18.4,0.0001058
18.6,0.0001071
18.8,0.0001084
19.0,0.0001097
19.2,0.0001112
19.4,0.0001127
19.6,0.0001143
19.8,0.0001159
20.0,0.0001177
20.2,0.0001197
20.4,0.0001217
20.6,0.0001239
20.8,0.0001263
21.0,0.0001287
21.2,0.0001314
21.4,0.0001342
21.6,0.0001372
21.8,0.0001406
22.0,0.0001441
22.2,0.0001479
22.4,0.0001521
22.6,0.0001569
22.8,0.0001623
23.0,0.0001682
23.2,0.0001746
23.4,0.0001813
23.6,0.0001886
23.8,0.0001966
24.6,0.000241
24.8,0.000251
25.0,0.000263
