V(V),I(A)
-10.0,-4.3e-07
-9.8,-6e-07
-9.6,-5.5e-07
-9.4,-5.7e-07
-9.2,-5.7e-07
-9.0,-5.8e-07
-8.8,-5.8e-07
-8.6,-5.8e-07
-8.4,-5.8e-07
-8.2,-5.7e-07
-8.0,-5.7e-07
-7.8,-5.6e-07
-7.6,-5.6e-07
-7.4,-5.5e-07
-7.2,-5.4e-07
-7.0,-5.4e-07
-6.8,-5.3e-07
-6.6,-5.2e-07
-6.4,-5.1e-07
-6.2,-5e-07
-6.0,-4.9e-07
-5.8,-4.8e-07
-5.6,-4.7e-07
-5.4,-4.7e-07
-5.2,-4.6e-07
-5.0,-4.5e-07
-4.8,-4.4e-07
-4.6,-4.3e-07
-4.4,-4.2e-07
-4.2,-4.1e-07
-4.0,-4e-07
-3.8,-4e-07
-3.6,-3.9e-07
-3.4,-3.8e-07
-3.2,-3.7e-07
-3.0,-3.6e-07
-2.8,-3.5e-07
-2.6,-3.5e-07
-2.4,-3.3e-07
-2.2,-3.3e-07
-2.0,-3.2e-07
-1.8,-3.1e-07
-1.6,-3e-07
-1.4,-3e-07
-1.2,-2.9e-07
-1.0,-2.9e-07
-0.8,-2.8e-07
-0.6,-2.8e-07
-0.4,-2.7e-07
-0.2,-2.7e-07
0.0,-2.6e-07
0.2,-2.6e-07
0.4,-2.5e-07
0.6,-2.5e-07
0.8,-2.4e-07
1.0,-2.3e-07
1.2,-2.3e-07
1.4,-2.3e-07
1.6,-2.2e-07
1.8,-2.2e-07
2.0,-2.1e-07
2.2,-2.1e-07
2.4,-2e-07
2.6,-1.9e-07
2.8,-1.9e-07
3.0,-1.8e-07
3.2,-1.7e-07
3.4,-1.7e-07
3.6,-1.6e-07
3.8,-1.5e-07
4.0,-1.4e-07
4.2,-1.4e-07
4.4,-1.3e-07
4.6,-1.2e-07
4.8,-1e-07
5.0,-9e-08
5.2,-8e-08
5.4,-7e-08
5.6,-5e-08
5.8,-2e-08
6.0,0.0
6.2,3e-08
6.4,6e-08
6.6,1e-07
6.8,1.4e-07
7.0,1.9e-07
7.2,2.4e-07
7.4,2.9e-07
7.6,3.5e-07
7.8,4.1e-07
8.0,4.7e-07
8.2,5.4e-07
8.4,6e-07
8.6,6.6e-07
8.8,7.2e-07
9.0,7.8e-07
9.2,8.2e-07
9.4,8.7e-07
9.6,9.2e-07
9.8,9.7e-07
10.0,1.01e-06
10.2,1.06e-06
10.4,1.1e-06
10.6,1.17e-06
10.8,1.27e-06
11.0,1.44e-06
11.2,1.72e-06
11.4,2.1e-06
11.6,2.57e-06
11.8,3.13e-06
12.0,3.79e-06
12.2,4.53e-06
12.4,5.37e-06
12.6,6.32e-06
12.8,7.39e-06
13.0,8.57e-06
13.2,9.85e-06
13.4,1.126e-05
13.6,1.286e-05
13.8,1.472e-05
14.0,1.689e-05
14.2,1.926e-05
14.8,2.66e-05
15.0,2.86e-05
15.2,3.08e-05
15.4,3.3e-05
15.6,3.52e-05
15.8,3.73e-05
16.0,3.94e-05
16.2,4.14e-05
16.4,4.34e-05
16.6,4.54e-05
16.8,4.74e-05
17.0,4.94e-05
17.2,5.12e-05
17.4,5.31e-05
17.6,5.5e-05
17.8,5.68e-05
18.0,5.86e-05
18.2,6.03e-05
18.4,6.21e-05
18.6,6.39e-05
18.8,6.56e-05
19.0,6.73e-05
19.2,6.89e-05
19.4,7.06e-05
19.6,7.23e-05
19.8,7.4e-05
20.0,7.56e-05
20.2,7.72e-05
20.4,7.88e-05
20.6,8.03e-05
20.8,8.19e-05
21.0,8.34e-05
21.2,8.48e-05
21.4,8.63e-05
21.6,8.77e-05
21.8,8.91e-05
22.0,9.05e-05
22.2,9.19e-05
22.4,9.32e-05
22.6,9.45e-05
22.8,9.58e-05
23.0,9.69e-05
23.2,9.8e-05
23.4,9.9e-05
23.6,0.0001001
23.8,0.0001012
24.0,0.0001023
24.2,0.0001034
24.4,0.0001045
24.6,0.0001056
24.8,0.0001067
25.0,0.0001079
