V(V),I(A)
0.0,-4e-07
0.0,-4e-07
0.0,-4e-07
0.1,-4e-07
0.1,-4e-07
0.2,-4e-07
0.2,-5e-07
0.2,-5e-07
0.3,-4e-07
0.3,-5e-07
0.4,-5e-07
0.4,-4e-07
0.4,-4e-07
0.5,-5e-07
0.5,-5e-07
0.6,-5e-07
0.6,-5e-07
0.6,-5e-07
0.7,-4e-07
0.7,-4e-07
0.8,-4e-07
0.8,-4e-07
0.8,-4e-07
0.9,-3e-07
0.9,-4e-07
1.0,-4e-07
1.0,-4e-07
1.0,-4e-07
1.1,-3e-07
1.1,-3e-07
1.2,-4e-07
1.2,-3e-07
1.2,-4e-07
1.3,-3e-07
1.3,-4e-07
1.4,-4e-07
1.4,-4e-07
1.4,-4e-07
1.5,-3e-07
1.5,-3e-07
1.6,-3e-07
1.6,-3e-07
1.6,-3e-07
1.7,-3e-07
1.7,-2e-07
1.8,-2e-07
1.8,-3e-07
1.8,-2e-07
1.9,-2e-07
1.9,-2e-07
2.0,-3e-07
2.0,-2e-07
2.0,-3e-07
2.1,-3e-07
2.1,-3e-07
2.2,-2e-07
2.2,-2e-07
2.2,-2e-07
2.3,-2e-07
2.3,-2e-07
2.4,-1e-07
2.4,-2e-07
2.4,-2e-07
2.5,-1e-07
2.5,-2e-07
2.6,-2e-07
2.6,-2e-07
2.6,-1e-07
2.7,-1e-07
2.7,-1e-07
2.8,-1e-07
2.8,-2e-07
2.8,-1e-07
2.9,-1e-07
2.9,-1e-07
3.0,-1e-07
3.0,-1e-07
3.0,0.0
3.1,-1e-07
3.1,-1e-07
3.2,-1e-07
3.2,-1e-07
3.2,0.0
3.3,-1e-07
3.3,-1e-07
3.4,-1e-07
3.4,-1e-07
3.4,0.0
3.5,0.0
3.5,0.0
3.6,0.0
3.6,0.0
3.6,0.0
3.7,0.0
3.7,0.0
3.8,0.0
3.8,0.0
3.8,0.0
3.9,1e-07
3.9,1e-07
4.0,0.0
4.0,0.0
4.0,1e-07
4.1,1e-07
4.1,0.0
4.2,1e-07
4.2,1e-07
4.2,2e-07
4.3,1e-07
4.3,2e-07
4.4,1e-07
4.4,1e-07
4.4,2e-07
4.5,2e-07
4.5,2e-07
4.6,2e-07
4.6,2e-07
4.6,2e-07
4.7,2e-07
4.7,2e-07
4.8,2e-07
4.8,2e-07
4.8,2e-07
4.9,2e-07
4.9,2e-07
5.0,3e-07
5.0,3e-07
5.0,3e-07
5.1,3e-07
5.1,3e-07
5.2,3e-07
5.2,3e-07
5.2,3e-07
5.3,3e-07
5.3,3e-07
5.4,3e-07
5.4,4e-07
5.4,4e-07
5.5,3e-07
5.5,3e-07
5.6,4e-07
5.6,4e-07
5.6,4e-07
5.7,4e-07
5.7,4e-07
5.8,4e-07
5.8,4e-07
5.8,4e-07
5.9,4e-07
5.9,5e-07
6.0,4e-07
6.0,5e-07
6.0,5e-07
6.1,5e-07
6.1,5e-07
6.2,5e-07
6.2,5e-07
6.2,5e-07
6.3,5e-07
6.3,5e-07
6.4,5e-07
6.4,6e-07
6.4,6e-07
6.5,6e-07
6.5,6e-07
6.6,6e-07
6.6,7e-07
6.6,6e-07
6.7,7e-07
6.7,7e-07
6.8,7e-07
6.8,8e-07
6.8,7e-07
6.9,7e-07
6.9,8e-07
7.0,8e-07
7.0,8e-07
7.0,8e-07
7.1,8e-07
7.1,9e-07
7.2,9e-07
7.2,8e-07
7.2,9e-07
7.3,9e-07
7.3,9e-07
7.4,9e-07
7.4,9e-07
7.4,1e-06
7.5,1e-06
7.5,1e-06
7.6,1e-06
7.6,1.1e-06
7.6,1.1e-06
7.7,1.1e-06
7.7,1e-06
7.8,1.1e-06
7.8,1.1e-06
7.8,1.1e-06
7.9,1.1e-06
7.9,1.1e-06
8.0,1.2e-06
8.0,1.2e-06
8.0,1.3e-06
8.1,1.3e-06
8.1,1.2e-06
8.2,1.2e-06
8.2,1.3e-06
8.2,1.4e-06
8.3,1.4e-06
8.3,1.3e-06
8.4,1.4e-06
8.4,1.4e-06
8.4,1.4e-06
8.5,1.4e-06
8.5,1.4e-06
8.6,1.5e-06
8.6,1.5e-06
8.6,1.5e-06
8.7,1.5e-06
8.7,1.5e-06
8.8,1.6e-06
8.8,1.6e-06
8.8,1.6e-06
8.9,1.6e-06
8.9,1.6e-06
9.0,1.7e-06
9.0,1.7e-06
9.0,1.7e-06
9.1,1.7e-06
9.1,1.7e-06
9.2,1.8e-06
9.2,1.8e-06
9.2,1.8e-06
9.3,1.8e-06
9.3,1.8e-06
9.4,1.9e-06
9.4,1.9e-06
9.4,1.9e-06
9.5,1.9e-06
9.5,1.9e-06
9.6,1.9e-06
9.6,2e-06
9.6,2.1e-06
9.7,2.1e-06
9.7,2.1e-06
9.8,2.1e-06
9.8,2.1e-06
9.8,2.1e-06
9.9,2.2e-06
9.9,2.1e-06
10.0,2.2e-06
10.0,2.2e-06
10.0,2.2e-06
10.1,2.3e-06
10.1,2.3e-06
10.2,2.3e-06
10.2,2.3e-06
10.2,2.4e-06
10.3,2.4e-06
10.3,2.4e-06
10.4,2.4e-06
10.4,2.4e-06
10.4,2.4e-06
10.5,2.4e-06
10.5,2.5e-06
10.6,2.5e-06
10.6,2.5e-06
10.6,2.5e-06
10.7,2.6e-06
10.7,2.6e-06
10.8,2.6e-06
10.8,2.6e-06
10.8,2.6e-06
10.9,2.7e-06
10.9,2.7e-06
11.0,2.7e-06
11.0,2.7e-06
11.0,2.7e-06
11.1,2.8e-06
11.1,2.9e-06
11.2,2.9e-06
11.2,2.9e-06
11.2,2.9e-06
11.3,2.9e-06
11.3,2.9e-06
11.4,2.9e-06
11.4,3e-06
11.4,2.9e-06
11.5,3e-06
11.5,3.1e-06
11.6,3.1e-06
11.6,3.1e-06
11.6,3.1e-06
11.7,3.1e-06
11.7,3.2e-06
11.8,3.2e-06
11.8,3.2e-06
11.8,3.2e-06
11.9,3.3e-06
11.9,3.4e-06
12.0,3.3e-06
12.0,3.4e-06
12.0,3.5e-06
12.1,3.5e-06
12.1,3.6e-06
12.2,3.5e-06
12.2,3.6e-06
12.2,3.6e-06
12.3,3.7e-06
12.3,3.8e-06
12.4,3.8e-06
12.4,3.9e-06
12.4,3.9e-06
12.5,4e-06
12.5,4.1e-06
12.6,4.2e-06
12.6,4.3e-06
12.6,4.3e-06
12.7,4.4e-06
12.7,4.6e-06
12.8,4.6e-06
12.8,4.7e-06
12.8,4.8e-06
12.9,4.9e-06
12.9,5e-06
13.0,5e-06
13.0,5.2e-06
13.0,5.3e-06
13.1,5.4e-06
13.1,5.6e-06
13.2,5.6e-06
13.2,5.8e-06
13.2,5.9e-06
13.3,6e-06
13.3,6.2e-06
13.4,6.2e-06
13.4,6.5e-06
13.4,6.6e-06
13.5,6.8e-06
13.5,7e-06
13.6,7e-06
13.6,7.4e-06
13.6,7.5e-06
13.7,7.7e-06
13.7,8e-06
13.8,8e-06
13.8,8.4e-06
13.8,8.5e-06
13.9,8.8e-06
13.9,9.2e-06
14.0,9.1e-06
14.0,9.6e-06
14.0,9.8e-06
14.1,1.01e-05
14.1,1.05e-05
14.2,1.05e-05
14.2,1.11e-05
14.2,1.14e-05
14.3,1.18e-05
14.3,1.24e-05
14.4,1.24e-05
14.4,1.31e-05
14.4,1.34e-05
14.5,1.4e-05
14.5,1.48e-05
14.6,1.5e-05
14.6,1.59e-05
14.6,1.63e-05
14.7,1.7e-05
14.7,1.78e-05
14.8,1.77e-05
14.8,1.86e-05
14.8,1.89e-05
14.9,1.96e-05
14.9,2.08e-05
15.0,2.08e-05
15.0,2.2e-05
15.0,2.25e-05
15.1,2.34e-05
15.1,2.48e-05
15.2,2.49e-05
15.2,2.63e-05
15.2,2.69e-05
15.3,2.78e-05
15.3,2.93e-05
15.4,2.96e-05
15.4,3.12e-05
15.4,3.19e-05
15.5,3.28e-05
15.5,3.44e-05
15.6,3.46e-05
15.6,3.64e-05
15.6,3.72e-05
15.7,3.84e-05
15.7,4e-05
15.8,4.04e-05
15.8,4.23e-05
15.8,4.32e-05
15.9,4.44e-05
15.9,4.61e-05
16.0,4.65e-05
16.0,4.83e-05
16.0,4.92e-05
16.1,5.03e-05
16.1,5.19e-05
16.2,5.22e-05
16.2,5.39e-05
16.2,5.49e-05
16.3,5.6e-05
16.3,5.75e-05
16.4,5.78e-05
16.4,5.95e-05
16.4,6.05e-05
16.5,6.17e-05
16.5,6.32e-05
16.6,6.35e-05
16.6,6.49e-05
16.6,6.55e-05
16.7,6.65e-05
16.7,6.79e-05
16.8,6.82e-05
16.8,6.97e-05
16.8,7.04e-05
16.9,7.14e-05
16.9,7.26e-05
17.0,7.26e-05
17.0,7.36e-05
17.0,7.4e-05
17.1,7.46e-05
17.1,7.58e-05
17.2,7.6e-05
17.2,7.71e-05
17.2,7.77e-05
17.3,7.83e-05
17.3,7.94e-05
17.4,7.97e-05
17.4,8.09e-05
17.4,8.15e-05
17.5,8.22e-05
17.5,8.33e-05
17.6,8.36e-05
17.6,8.48e-05
17.6,8.53e-05
17.7,8.6e-05
17.7,8.7e-05
17.8,8.72e-05
17.8,8.84e-05
17.8,8.89e-05
17.9,8.95e-05
17.9,9.04e-05
18.0,9.05e-05
18.0,9.16e-05
18.0,9.22e-05
18.1,9.29e-05
18.1,9.4e-05
18.2,9.42e-05
18.2,9.53e-05
18.2,9.58e-05
18.3,9.64e-05
18.3,9.74e-05
18.4,9.76e-05
18.4,9.87e-05
18.4,9.92e-05
18.5,9.98e-05
18.5,0.0001009
18.6,0.0001011
18.6,0.0001021
18.6,0.0001026
18.7,0.0001032
18.7,0.0001042
18.8,0.0001044
18.8,0.0001053
18.8,0.0001058
18.9,0.0001065
18.9,0.0001075
19.0,0.0001077
19.0,0.0001087
19.0,0.0001092
19.1,0.0001097
19.1,0.0001106
19.2,0.0001109
19.2,0.0001118
19.2,0.0001121
19.3,0.0001126
19.3,0.0001134
19.4,0.0001135
19.4,0.0001144
19.4,0.0001148
19.5,0.0001153
19.5,0.0001162
19.6,0.0001162
19.6,0.0001169
19.6,0.0001172
19.7,0.0001177
19.7,0.0001185
19.8,0.0001186
19.8,0.0001195
19.8,0.0001199
19.9,0.0001203
19.9,0.000121
20.0,0.0001209
20.0,0.0001217
20.0,0.000122
20.1,0.0001225
20.1,0.0001233
20.2,0.0001234
20.2,0.0001242
20.2,0.0001246
20.3,0.0001251
20.3,0.000126
20.4,0.0001261
20.4,0.0001269
20.4,0.0001274
20.5,0.0001279
20.5,0.0001288
20.6,0.0001289
20.6,0.0001298
20.6,0.0001303
20.7,0.0001309
20.7,0.0001318
20.8,0.0001319
20.8,0.0001328
20.8,0.0001332
20.9,0.0001339
20.9,0.0001347
21.0,0.0001349
21.0,0.0001357
21.0,0.0001362
21.1,0.0001367
21.1,0.0001376
21.2,0.0001378
21.2,0.0001386
21.2,0.000139
21.3,0.0001395
21.3,0.0001403
21.4,0.0001405
21.4,0.0001412
21.4,0.0001416
21.5,0.0001419
21.5,0.0001424
21.6,0.0001424
21.6,0.000143
21.6,0.0001434
21.7,0.0001439
21.7,0.0001446
21.8,0.0001447
21.8,0.0001454
21.8,0.0001458
21.9,0.0001463
21.9,0.0001469
22.0,0.0001469
22.0,0.0001476
22.0,0.0001479
22.1,0.0001483
22.1,0.0001489
22.2,0.000149
22.2,0.0001498
22.2,0.0001501
22.3,0.0001506
22.3,0.0001514
22.4,0.0001515
22.4,0.0001523
22.4,0.0001526
22.5,0.000153
22.5,0.0001537
22.6,0.0001538
22.6,0.0001546
22.6,0.000155
22.7,0.0001555
22.7,0.0001561
22.8,0.0001563
22.8,0.000157
22.8,0.0001573
22.9,0.0001578
22.9,0.0001585
23.0,0.0001586
23.0,0.0001594
23.0,0.0001597
23.1,0.0001601
23.1,0.0001608
23.2,0.0001609
23.2,0.0001616
23.2,0.000162
23.3,0.0001624
23.3,0.000163
23.4,0.0001631
23.4,0.0001638
23.4,0.0001642
23.5,0.0001646
23.5,0.0001652
23.6,0.0001653
23.6,0.0001659
23.6,0.0001663
23.7,0.0001666
23.7,0.0001673
23.8,0.0001673
23.8,0.000168
23.8,0.0001684
23.9,0.0001688
23.9,0.0001693
24.0,0.0001694
24.0,0.00017
24.0,0.0001703
24.1,0.0001707
24.1,0.0001712
24.2,0.0001713
24.2,0.0001719
24.2,0.0001723
24.3,0.0001726
24.3,0.0001729
24.4,0.0001727
24.4,0.000173
24.4,0.0001731
24.5,0.0001734
24.5,0.0001738
24.6,0.0001739
24.6,0.0001743
24.6,0.0001744
24.7,0.0001747
24.7,0.0001751
24.8,0.0001751
24.8,0.0001756
24.8,0.0001757
24.9,0.0001761
24.9,0.0001766
25.0,0.0001766
