V(V),I(A)
-10.0,-4.4e-07
-9.6,-6.1e-07
-9.2,-5.4e-07
-8.8,-5.4e-07
-8.4,-5.3e-07
-8.0,-5.2e-07
-7.6,-5e-07
-7.2,-4.9e-07
-6.8,-4.8e-07
-6.4,-4.7e-07
-6.0,-4.6e-07
-5.6,-4.4e-07
-5.2,-4.3e-07
-4.8,-4.1e-07
-4.4,-4e-07
-4.0,-3.9e-07
-3.6,-3.7e-07
-3.2,-3.6e-07
-2.8,-3.4e-07
-2.4,-3.3e-07
-2.0,-3.2e-07
-1.6,-3.1e-07
-1.2,-2.9e-07
-0.8,-2.8e-07
-0.4,-2.7e-07
0.0,-2.6e-07
0.4,-2.5e-07
0.8,-2.4e-07
1.2,-2.3e-07
1.6,-2.2e-07
2.0,-2.1e-07
2.4,-2e-07
2.8,-1.9e-07
3.2,-1.7e-07
3.6,-1.6e-07
4.0,-1.4e-07
4.4,-1.3e-07
4.8,-1.1e-07
5.2,-8e-08
5.6,-5e-08
6.0,0.0
6.4,6e-08
6.8,1.3e-07
7.2,2.3e-07
7.6,3.4e-07
8.0,4.5e-07
8.4,5.6e-07
8.8,6.7e-07
9.2,7.7e-07
9.6,8.7e-07
10.0,9.6e-07
10.4,1.07e-06
10.8,1.36e-06
11.2,2.06e-06
11.6,3.22e-06
12.0,4.72e-06
12.4,6.64e-06
12.8,9.04e-06
13.2,1.207e-05
13.6,1.596e-05
14.8,2.99e-05
15.2,3.37e-05
15.6,3.77e-05
16.0,4.16e-05
16.4,4.54e-05
16.8,4.91e-05
17.2,5.26e-05
17.6,5.61e-05
18.0,5.96e-05
18.4,6.3e-05
18.8,6.63e-05
19.2,6.96e-05
19.6,7.28e-05
20.0,7.59e-05
20.4,7.9e-05
20.8,8.2e-05
21.2,8.5e-05
21.6,8.78e-05
22.0,9.06e-05
22.4,9.33e-05
22.8,9.59e-05
23.2,9.82e-05
23.6,0.0001005
24.0,0.0001027
24.4,0.0001049
24.8,0.0001072
0.0,0.0001057
0.0,3.84e-05
0.0,-2.9e-07
0.0,-2.9e-07
0.0,-2.8e-07
0.0,-2.9e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.8e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.7e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.7e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
0.0,-2.6e-07
