V(V),I(A)
0.0,-4.2e-07
0.1,-4.2e-07
0.2,-4.1e-07
0.3,-4e-07
0.4,-3.9e-07
0.5,-3.8e-07
0.6,-3.7e-07
0.7,-3.6e-07
0.8,-3.5e-07
0.9,-3.4e-07
1.0,-3.3e-07
1.1,-3.2e-07
1.2,-3.1e-07
1.3,-2.9e-07
1.4,-2.8e-07
1.5,-2.7e-07
1.6,-2.5e-07
1.7,-2.4e-07
1.8,-2.3e-07
1.9,-2.2e-07
2.0,-2.1e-07
2.1,-1.9e-07
2.2,-1.8e-07
2.3,-1.7e-07
2.4,-1.5e-07
2.5,-1.4e-07
2.6,-1.2e-07
2.7,-1.1e-07
2.8,-9e-08
2.9,-8e-08
3.0,-6e-08
3.1,-5e-08
3.2,-4e-08
3.3,-2e-08
3.4,0.0
3.5,1e-08
3.6,3e-08
3.7,4e-08
3.8,6e-08
3.9,8e-08
4.0,9e-08
4.1,1.1e-07
4.2,1.3e-07
4.3,1.4e-07
4.4,1.6e-07
4.5,1.8e-07
4.6,2e-07
4.7,2.2e-07
4.8,2.3e-07
4.9,2.5e-07
5.0,2.8e-07
5.1,3e-07
5.2,3.2e-07
5.3,3.4e-07
5.4,3.7e-07
5.5,3.9e-07
5.6,4.2e-07
5.7,4.5e-07
5.8,4.8e-07
5.9,5.1e-07
6.0,5.4e-07
6.1,5.7e-07
6.2,6.1e-07
6.3,6.5e-07
6.4,6.9e-07
6.5,7.3e-07
6.6,7.7e-07
6.7,8.1e-07
6.8,8.6e-07
6.9,9.1e-07
7.0,9.3e-07
7.1,9.5e-07
7.2,9.8e-07
7.3,1.02e-06
7.4,1.08e-06
7.5,1.12e-06
7.6,1.18e-06
7.7,1.22e-06
7.8,1.27e-06
7.9,1.33e-06
8.0,1.38e-06
8.1,1.43e-06
8.2,1.47e-06
8.3,1.52e-06
8.4,1.57e-06
8.5,1.62e-06
8.6,1.67e-06
8.7,1.71e-06
8.8,1.76e-06
8.9,1.8e-06
9.0,1.84e-06
9.1,1.88e-06
9.2,1.92e-06
9.3,1.97e-06
9.4,2.02e-06
9.5,2.07e-06
9.6,2.11e-06
9.7,2.15e-06
9.8,2.2e-06
9.9,2.24e-06
10.0,2.24e-06
10.1,2.24e-06
10.2,2.22e-06
10.3,2.2e-06
10.4,2.26e-06
10.5,2.31e-06
10.6,2.37e-06
10.7,2.42e-06
10.8,2.49e-06
10.9,2.54e-06
11.0,2.6e-06
11.1,2.66e-06
11.2,2.73e-06
11.3,2.82e-06
11.4,2.91e-06
11.5,3.02e-06
11.6,3.17e-06
11.7,3.31e-06
11.8,3.45e-06
11.9,3.66e-06
12.0,3.9e-06
12.1,4.16e-06
12.2,4.42e-06
12.3,4.69e-06
12.4,4.99e-06
12.5,5.33e-06
12.6,5.73e-06
12.7,6.17e-06
12.8,6.63e-06
12.9,7.14e-06
13.0,7.71e-06
13.1,8.34e-06
13.2,9.05e-06
13.3,9.8e-06
13.4,1.064e-05
13.5,1.166e-05
13.6,1.282e-05
13.7,1.405e-05
13.8,1.535e-05
13.9,1.662e-05
14.0,1.269e-05
14.1,1.233e-05
14.4,2.7e-05
14.4,2.92e-05
14.5,3.18e-05
14.6,3.47e-05
14.7,3.76e-05
14.8,4.04e-05
14.9,4.3e-05
15.0,4.66e-05
15.1,4.98e-05
15.2,5.3e-05
15.3,5.61e-05
15.4,5.9e-05
15.5,6.18e-05
15.6,6.45e-05
15.7,6.68e-05
15.8,6.92e-05
15.9,7.15e-05
16.0,7.38e-05
16.1,7.61e-05
16.2,7.82e-05
16.3,8.03e-05
16.4,8.22e-05
16.5,8.42e-05
16.6,8.6e-05
16.7,8.79e-05
16.8,8.97e-05
16.9,9.14e-05
17.0,9.3e-05
17.1,9.48e-05
17.2,9.66e-05
17.3,9.83e-05
17.4,9.99e-05
17.5,0.0001015
17.6,0.0001032
17.7,0.0001048
17.8,0.0001065
17.9,0.000108
18.0,0.0001096
18.1,0.0001112
18.2,0.0001127
18.3,0.0001142
18.4,0.0001158
18.5,0.0001173
18.6,0.0001187
18.7,0.0001203
18.8,0.0001218
18.9,0.0001232
19.0,0.0001248
19.1,0.0001263
19.2,0.0001277
19.3,0.0001292
19.4,0.0001307
19.5,0.0001319
19.6,0.0001329
19.7,0.0001338
19.8,0.0001349
19.9,0.0001361
20.0,0.0001373
20.1,0.0001385
20.2,0.0001397
20.3,0.000141
20.4,0.0001423
20.5,0.0001436
20.6,0.0001448
20.7,0.000146
20.8,0.0001472
20.9,0.0001484
21.0,0.0001497
21.1,0.0001509
21.2,0.0001521
21.3,0.0001532
21.4,0.0001544
21.5,0.0001556
21.6,0.0001568
21.7,0.0001579
21.8,0.000159
21.9,0.0001601
22.0,0.0001612
22.1,0.0001623
22.2,0.0001634
22.3,0.0001645
22.4,0.0001655
22.5,0.0001665
22.6,0.0001676
22.7,0.0001687
22.8,0.0001697
22.9,0.0001706
23.0,0.0001716
23.1,0.0001726
23.2,0.0001736
23.3,0.0001746
23.4,0.0001755
23.5,0.0001764
23.6,0.0001773
23.7,0.0001784
23.8,0.0001794
23.9,0.0001804
24.0,0.0001813
24.1,0.0001822
24.2,0.0001832
24.3,0.0001841
24.4,0.000185
24.5,0.0001858
24.6,0.0001866
24.7,0.0001875
24.8,0.0001884
24.9,0.0001893
25.0,0.0001902
