V(V),I(A)
-10.0,-8.89e-06
-9.8,-1.014e-05
-9.6,-1.034e-05
-9.4,-1.03e-05
-9.2,-1.026e-05
-9.0,-1.022e-05
-8.8,-1.017e-05
-8.6,-1.013e-05
-8.4,-1.01e-05
-8.2,-1.006e-05
-8.0,-1.001e-05
-7.8,-9.97e-06
-7.6,-9.93e-06
-7.4,-9.89e-06
-7.2,-9.86e-06
-7.0,-9.82e-06
-6.8,-9.78e-06
-6.6,-9.74e-06
-6.4,-9.71e-06
-6.2,-9.67e-06
-6.0,-9.63e-06
-5.8,-9.59e-06
-5.6,-9.55e-06
-5.4,-9.51e-06
-5.2,-9.48e-06
-5.0,-9.43e-06
-4.8,-9.39e-06
-4.6,-9.34e-06
-4.4,-9.3e-06
-4.2,-9.26e-06
-4.0,-9.22e-06
-3.8,-9.18e-06
-3.6,-9.13e-06
-3.4,-9.08e-06
-3.2,-9.04e-06
-3.0,-9e-06
-2.8,-8.96e-06
-2.6,-8.92e-06
-2.4,-8.87e-06
-2.2,-8.84e-06
-2.0,-8.79e-06
-1.8,-8.75e-06
-1.6,-8.72e-06
-1.4,-8.68e-06
-1.2,-8.64e-06
-1.0,-8.59e-06
-0.8,-8.56e-06
-0.6,-8.52e-06
-0.4,-8.47e-06
-0.2,-8.42e-06
0.0,-8.38e-06
0.2,-8.34e-06
0.4,-8.31e-06
0.6,-8.27e-06
0.8,-8.23e-06
1.0,-8.19e-06
1.2,-8.15e-06
1.4,-8.1e-06
1.6,-8.06e-06
1.8,-8.01e-06
2.0,-7.97e-06
2.2,-7.94e-06
2.4,-7.9e-06
2.6,-7.87e-06
2.8,-7.82e-06
3.0,-7.78e-06
3.2,-7.74e-06
3.4,-7.7e-06
3.6,-7.66e-06
3.8,-7.61e-06
4.0,-7.57e-06
4.2,-7.52e-06
4.4,-7.48e-06
4.6,-7.44e-06
4.8,-7.41e-06
5.0,-7.37e-06
5.2,-7.33e-06
5.4,-7.29e-06
5.6,-7.24e-06
5.8,-7.2e-06
6.0,-7.17e-06
6.2,-7.13e-06
6.4,-7.09e-06
6.6,-7.05e-06
6.8,-7.01e-06
7.0,-6.97e-06
7.2,-6.93e-06
7.4,-6.89e-06
7.6,-6.86e-06
7.8,-6.82e-06
8.0,-6.78e-06
8.2,-6.74e-06
8.4,-6.71e-06
8.6,-6.67e-06
8.8,-6.64e-06
9.0,-6.59e-06
9.2,-6.55e-06
9.4,-6.52e-06
9.6,-6.49e-06
9.8,-6.46e-06
10.0,-6.42e-06
10.2,-6.4e-06
10.4,-6.37e-06
10.6,-6.34e-06
10.8,-6.31e-06
11.0,-6.29e-06
11.2,-6.26e-06
11.4,-6.24e-06
11.6,-6.21e-06
11.8,-6.17e-06
12.0,-6.15e-06
12.2,-6.11e-06
12.4,-6.09e-06
12.6,-6.05e-06
12.8,-6.02e-06
13.0,-5.99e-06
13.2,-5.96e-06
13.4,-5.93e-06
13.6,-5.9e-06
13.8,-5.86e-06
14.0,-5.83e-06
14.2,-5.8e-06
14.4,-5.76e-06
14.6,-5.73e-06
14.8,-5.7e-06
15.0,-5.66e-06
15.2,-5.63e-06
15.4,-5.6e-06
15.6,-5.57e-06
15.8,-5.54e-06
16.0,-5.51e-06
16.2,-5.47e-06
16.4,-5.42e-06
16.6,-5.38e-06
