V(V),I(A)
-10.0,-3.73e-06
-10.0,-4.83e-06
-9.8,-5.61e-06
-9.6,-5.57e-06
-9.4,-5.53e-06
-9.2,-5.49e-06
-9.0,-5.45e-06
-8.8,-5.41e-06
-8.6,-5.37e-06
-8.4,-5.34e-06
-8.2,-5.3e-06
-8.0,-5.26e-06
-7.8,-5.22e-06
-7.6,-5.19e-06
-7.4,-5.15e-06
-7.2,-5.12e-06
-7.0,-5.08e-06
-6.8,-5.04e-06
-6.6,-5.01e-06
-6.4,-4.97e-06
-6.2,-4.93e-06
-6.0,-4.89e-06
-5.8,-4.86e-06
-5.6,-4.82e-06
-5.4,-4.78e-06
-5.2,-4.74e-06
-5.0,-4.71e-06
-4.8,-4.67e-06
-4.6,-4.63e-06
-4.4,-4.59e-06
-4.2,-4.55e-06
-4.0,-4.51e-06
-3.8,-4.48e-06
-3.6,-4.44e-06
-3.4,-4.4e-06
-3.2,-4.36e-06
-3.0,-4.32e-06
-2.8,-4.28e-06
-2.6,-4.24e-06
-2.4,-4.2e-06
-2.2,-4.16e-06
-2.0,-4.12e-06
-1.8,-4.08e-06
-1.6,-4.04e-06
-1.4,-4.01e-06
-1.2,-3.97e-06
-1.0,-3.93e-06
-0.8,-3.89e-06
-0.6,-3.85e-06
-0.4,-3.82e-06
-0.2,-3.78e-06
0.0,-3.74e-06
0.2,-3.7e-06
0.4,-3.66e-06
0.6,-3.63e-06
0.8,-3.59e-06
1.0,-3.55e-06
1.2,-3.51e-06
1.4,-3.47e-06
1.6,-3.44e-06
1.8,-3.39e-06
2.0,-3.36e-06
2.2,-3.32e-06
2.4,-3.28e-06
2.6,-3.24e-06
2.8,-3.2e-06
3.0,-3.16e-06
3.2,-3.12e-06
3.4,-3.09e-06
3.6,-3.05e-06
3.8,-3.02e-06
4.0,-2.98e-06
4.2,-2.94e-06
4.4,-2.91e-06
4.6,-2.87e-06
4.8,-2.84e-06
5.0,-2.8e-06
5.2,-2.76e-06
5.4,-2.72e-06
5.6,-2.69e-06
5.8,-2.65e-06
6.0,-2.61e-06
6.2,-2.58e-06
6.4,-2.54e-06
6.6,-2.5e-06
6.8,-2.46e-06
7.0,-2.43e-06
7.2,-2.39e-06
7.4,-2.35e-06
7.6,-2.32e-06
7.8,-2.28e-06
8.0,-2.24e-06
8.2,-2.21e-06
8.4,-2.17e-06
8.6,-2.13e-06
8.8,-2.09e-06
9.0,-2.06e-06
9.2,-2.02e-06
9.4,-1.99e-06
9.6,-1.96e-06
9.8,-1.93e-06
10.0,-1.89e-06
10.2,-1.86e-06
10.4,-1.83e-06
10.6,-1.8e-06
10.8,-1.77e-06
11.0,-1.74e-06
11.2,-1.71e-06
11.4,-1.68e-06
11.6,-1.64e-06
11.8,-1.61e-06
12.0,-1.57e-06
12.2,-1.53e-06
12.4,-1.5e-06
12.6,-1.47e-06
12.8,-1.44e-06
13.0,-1.4e-06
13.2,-1.37e-06
13.4,-1.33e-06
13.6,-1.29e-06
13.8,-1.26e-06
14.0,-1.23e-06
14.2,-1.2e-06
14.4,-1.17e-06
14.6,-1.13e-06
14.8,-1.1e-06
15.0,-1.06e-06
15.2,-1.02e-06
15.4,-9.7e-07
15.6,-9.4e-07
15.8,-9.1e-07
16.0,-8.9e-07
16.2,-8.6e-07
16.4,-8.5e-07
16.6,-8.2e-07
16.8,-7.9e-07
17.0,-7.6e-07
17.2,-7.3e-07
17.4,-7e-07
17.6,-6.6e-07
17.8,-6.2e-07
18.0,-5.9e-07
18.2,-5.6e-07
18.4,-5.3e-07
18.6,-4.9e-07
18.8,-4.6e-07
19.0,-4.4e-07
19.2,-4.2e-07
19.4,-4e-07
19.6,-3.7e-07
19.8,-3.4e-07
20.0,-3.1e-07
20.2,-2.7e-07
20.4,-2.4e-07
20.6,-2e-07
20.8,-1.6e-07
21.0,-1.4e-07
21.2,-1.4e-07
21.4,-1.4e-07
21.6,-1.3e-07
21.8,-1e-07
22.0,-9e-08
22.2,-8e-08
22.4,-6e-08
22.6,-3e-08
22.8,-2e-08
23.0,0.0
23.2,3e-08
23.4,5e-08
23.6,7e-08
23.8,9e-08
24.0,1.1e-07
24.2,1.3e-07
24.4,1.6e-07
24.6,1.8e-07
24.8,1.9e-07
25.0,2.2e-07
25.2,2.4e-07
25.4,2.6e-07
25.6,2.9e-07
25.8,3.1e-07
26.0,3.3e-07
26.2,3.6e-07
26.4,3.8e-07
26.6,4e-07
26.8,4.3e-07
27.0,4.4e-07
27.2,4.7e-07
27.4,4.9e-07
27.6,5.2e-07
27.8,5.4e-07
28.0,5.6e-07
28.2,5.7e-07
28.4,5.9e-07
28.6,6e-07
28.8,6.2e-07
29.0,6.4e-07
29.2,6.6e-07
29.4,6.8e-07
29.6,7e-07
29.8,7.2e-07
30.0,7.3e-07
30.2,7.4e-07
30.4,7.6e-07
30.6,7.8e-07
30.8,7.8e-07
31.0,8e-07
31.2,8.2e-07
31.4,8.3e-07
31.6,8.5e-07
31.8,8.7e-07
32.0,8.8e-07
32.2,9e-07
32.4,9.2e-07
32.6,9.3e-07
32.8,9.4e-07
33.0,9.4e-07
33.2,9.5e-07
33.4,9.5e-07
33.6,9.6e-07
33.8,9.9e-07
34.0,1.01e-06
34.2,1.04e-06
34.4,1.06e-06
34.6,1.07e-06
34.8,1.09e-06
35.0,1.12e-06
35.2,1.14e-06
35.4,1.17e-06
35.6,1.2e-06
35.8,1.24e-06
36.0,1.28e-06
36.2,1.34e-06
36.4,1.41e-06
36.6,1.49e-06
36.8,1.59e-06
37.0,1.71e-06
37.2,1.84e-06
37.4,1.94e-06
37.6,2.04e-06
37.8,2.14e-06
38.0,2.28e-06
38.2,2.5e-06
38.4,2.78e-06
38.6,3.04e-06
38.8,3.25e-06
39.0,3.43e-06
39.2,3.55e-06
39.4,3.66e-06
39.6,3.8e-06
39.8,3.93e-06
40.0,4.06e-06
40.2,4.21e-06
40.4,4.34e-06
40.6,4.48e-06
40.8,4.62e-06
41.0,4.8e-06
41.2,4.97e-06
41.4,5.15e-06
41.6,5.37e-06
41.8,5.63e-06
42.0,5.97e-06
42.2,6.45e-06
42.4,7.05e-06
42.6,7.79e-06
42.8,8.65e-06
43.0,9.65e-06
43.2,1.074e-05
43.4,1.191e-05
43.6,1.313e-05
43.8,1.444e-05
44.0,1.58e-05
44.2,1.718e-05
44.4,1.86e-05
44.6,1.993e-05
45.2,2.45e-05
45.4,2.63e-05
45.6,2.84e-05
45.8,3.08e-05
46.0,3.32e-05
46.2,3.6e-05
46.4,3.93e-05
46.6,4.25e-05
46.8,4.56e-05
47.0,4.91e-05
47.2,5.29e-05
47.4,5.68e-05
47.6,6.1e-05
47.8,6.54e-05
48.0,7.02e-05
48.2,7.53e-05
48.4,8.09e-05
