V(V),I(A)
0.0,-6.6e-07
0.2,-6.6e-07
0.4,-6.5e-07
0.6,-6.5e-07
0.8,-6.4e-07
1.0,-6.4e-07
1.2,-6.3e-07
1.4,-6.2e-07
1.6,-6.2e-07
1.8,-6.1e-07
2.0,-6.1e-07
2.2,-6e-07
2.4,-6e-07
2.6,-5.9e-07
2.8,-5.8e-07
3.0,-5.8e-07
3.2,-5.7e-07
3.4,-5.7e-07
3.6,-5.6e-07
3.8,-5.5e-07
4.0,-5.5e-07
4.2,-5.4e-07
4.4,-5.4e-07
4.6,-5.3e-07
4.8,-5.3e-07
5.0,-5.2e-07
5.2,-5.1e-07
5.4,-5e-07
5.6,-4.8e-07
5.8,-4.7e-07
6.0,-4.5e-07
6.2,-4.4e-07
6.4,-4.3e-07
6.6,-4.1e-07
6.8,-4e-07
7.0,-3.9e-07
7.2,-3.7e-07
7.4,-3.6e-07
7.6,-3.5e-07
7.8,-3.4e-07
8.0,-3.2e-07
8.2,-3e-07
8.4,-2.8e-07
8.6,-2.6e-07
8.8,-2.4e-07
9.0,-2.3e-07
9.2,-2.3e-07
9.4,-2.3e-07
9.6,-2.3e-07
9.8,-2.2e-07
10.0,-2.1e-07
10.2,-1.9e-07
10.4,-1.8e-07
10.6,-1.6e-07
10.8,-1.5e-07
11.0,-1.3e-07
11.2,-1.1e-07
11.4,-9e-08
11.6,-7e-08
11.8,-4e-08
12.0,-1e-08
12.2,3e-08
12.4,7e-08
12.6,1.3e-07
12.8,1.8e-07
13.0,2.5e-07
13.2,3.3e-07
13.4,4.3e-07
13.6,5.4e-07
13.8,6.7e-07
14.0,8e-07
14.2,9.3e-07
14.4,1.07e-06
14.6,1.22e-06
14.8,1.36e-06
15.0,1.5e-06
15.2,1.65e-06
15.4,1.78e-06
15.6,1.92e-06
15.8,2.06e-06
16.0,2.19e-06
16.2,2.32e-06
16.4,2.44e-06
16.6,2.56e-06
16.8,2.69e-06
17.0,2.82e-06
17.2,2.96e-06
17.4,3.13e-06
17.6,3.4e-06
17.8,3.81e-06
18.0,4.39e-06
18.2,5.19e-06
18.4,6.19e-06
18.6,7.36e-06
18.8,8.72e-06
19.0,1.021e-05
19.2,1.18e-05
19.4,1.35e-05
19.6,1.538e-05
19.8,1.741e-05
20.0,1.96e-05
20.6,2.89e-05
20.8,3.29e-05
21.0,3.81e-05
21.2,4.43e-05
21.4,5.1e-05
21.6,5.82e-05
21.8,6.56e-05
22.0,7.28e-05
22.2,7.95e-05
22.4,8.56e-05
22.6,9.12e-05
22.8,9.64e-05
23.0,0.0001013
23.2,0.0001061
23.4,0.0001107
23.6,0.0001151
23.8,0.0001194
24.0,0.0001237
24.2,0.0001279
24.4,0.0001321
24.6,0.0001361
24.8,0.0001401
25.0,0.0001441
25.2,0.0001481
25.4,0.000152
25.6,0.0001559
25.8,0.0001596
26.0,0.0001632
