V(V),I(A)
-10.0,-1.07e-06
-10.0,-2.12e-06
-9.8,-2.86e-06
-9.6,-2.83e-06
-9.4,-2.8e-06
-9.2,-2.76e-06
-9.0,-2.73e-06
-8.8,-2.7e-06
-8.6,-2.66e-06
-8.4,-2.63e-06
-8.2,-2.59e-06
-8.0,-2.56e-06
-7.8,-2.52e-06
-7.6,-2.49e-06
-7.4,-2.45e-06
-7.2,-2.42e-06
-7.0,-2.39e-06
-6.8,-2.35e-06
-6.6,-2.32e-06
-6.4,-2.28e-06
-6.2,-2.24e-06
-6.0,-2.2e-06
-5.8,-2.17e-06
-5.6,-2.13e-06
-5.4,-2.09e-06
-5.2,-2.06e-06
-5.0,-2.02e-06
-4.8,-1.98e-06
-4.6,-1.95e-06
-4.4,-1.91e-06
-4.2,-1.87e-06
-4.0,-1.83e-06
-3.8,-1.8e-06
-3.6,-1.76e-06
-3.4,-1.72e-06
-3.2,-1.69e-06
-3.0,-1.65e-06
-2.8,-1.61e-06
-2.6,-1.58e-06
-2.4,-1.54e-06
-2.2,-1.5e-06
-2.0,-1.46e-06
-1.8,-1.43e-06
-1.6,-1.39e-06
-1.4,-1.35e-06
-1.2,-1.31e-06
-1.0,-1.27e-06
-0.8,-1.24e-06
-0.6,-1.2e-06
-0.4,-1.16e-06
-0.2,-1.13e-06
0.0,-1.09e-06
0.2,-1.05e-06
0.4,-1.01e-06
0.6,-9.8e-07
0.8,-9.4e-07
1.0,-9e-07
1.2,-8.7e-07
1.4,-8.3e-07
1.6,-7.9e-07
1.8,-7.6e-07
2.0,-7.3e-07
2.2,-7e-07
2.4,-6.6e-07
2.6,-6.2e-07
2.8,-5.8e-07
3.0,-5.4e-07
3.2,-5.1e-07
3.4,-4.7e-07
3.6,-4.3e-07
3.8,-3.9e-07
4.0,-3.5e-07
4.2,-3.1e-07
4.4,-2.7e-07
4.6,-2.3e-07
4.8,-1.9e-07
5.0,-1.5e-07
5.2,-1.1e-07
5.4,-7e-08
5.6,-3e-08
5.8,1e-08
6.0,5e-08
6.2,9e-08
6.4,1.2e-07
6.6,1.7e-07
6.8,2.1e-07
7.0,2.5e-07
7.2,2.9e-07
7.4,3.3e-07
7.6,3.8e-07
7.8,4.2e-07
8.0,4.7e-07
8.2,5.2e-07
8.4,5.7e-07
8.6,6.3e-07
8.8,6.9e-07
9.0,7.5e-07
9.2,8.2e-07
9.4,8.9e-07
9.6,9.7e-07
9.8,1.05e-06
10.0,1.14e-06
10.2,1.22e-06
10.4,1.31e-06
10.6,1.4e-06
10.8,1.5e-06
11.0,1.6e-06
11.2,1.69e-06
11.4,1.79e-06
11.6,1.89e-06
11.8,1.99e-06
12.0,2.08e-06
12.2,2.18e-06
12.4,2.27e-06
12.6,2.36e-06
12.8,2.44e-06
13.0,2.53e-06
13.2,2.62e-06
13.4,2.71e-06
13.6,2.8e-06
13.8,2.89e-06
14.0,2.98e-06
14.2,3.09e-06
14.4,3.23e-06
14.6,3.41e-06
14.8,3.65e-06
15.0,3.94e-06
15.2,4.29e-06
15.4,4.68e-06
15.6,5.12e-06
15.8,5.6e-06
16.0,6.11e-06
16.2,6.66e-06
16.4,7.22e-06
16.6,7.82e-06
16.8,8.43e-06
17.0,9.05e-06
17.2,9.72e-06
17.4,1.045e-05
17.6,1.124e-05
17.8,1.21e-05
18.0,1.307e-05
18.2,1.414e-05
18.4,1.533e-05
18.6,1.662e-05
18.8,1.8e-05
19.0,1.952e-05
19.6,2.54e-05
19.8,2.79e-05
20.0,3.06e-05
20.2,3.36e-05
20.4,3.69e-05
20.6,4.01e-05
20.8,4.33e-05
21.0,4.66e-05
21.2,4.99e-05
21.4,5.32e-05
21.6,5.65e-05
21.8,5.97e-05
22.0,6.28e-05
22.2,6.6e-05
22.4,6.91e-05
22.6,7.17e-05
22.8,7.44e-05
23.0,7.7e-05
23.2,7.95e-05
23.4,8.17e-05
23.6,8.38e-05
23.8,8.74e-05
24.0,9.03e-05
24.2,9.3e-05
24.4,9.62e-05
24.6,9.83e-05
24.8,0.0001009
25.0,0.0001045
25.2,0.0001067
25.4,0.0001094
25.6,0.0001122
25.8,0.0001149
26.0,0.0001177
26.2,0.0001206
26.4,0.0001234
26.6,0.0001262
26.8,0.000129
27.0,0.0001317
27.2,0.0001344
27.4,0.0001371
27.6,0.0001398
27.8,0.0001425
28.0,0.0001453
28.2,0.0001478
28.4,0.0001503
28.6,0.000153
28.8,0.0001556
29.0,0.0001582
29.2,0.0001609
29.4,0.0001633
29.6,0.0001659
29.8,0.0001685
30.0,0.000171
