V(V),I(A)
-10.0,-9e-08
-10.0,-4.6e-07
-9.8,-5.6e-07
-9.6,-5.5e-07
-9.4,-5.4e-07
-9.2,-5.4e-07
-9.0,-5.3e-07
-8.8,-5.3e-07
-8.6,-5.3e-07
-8.4,-5.2e-07
-8.2,-5.1e-07
-8.0,-5e-07
-7.8,-4.9e-07
-7.6,-4.9e-07
-7.4,-4.8e-07
-7.2,-4.8e-07
-7.0,-4.7e-07
-6.8,-4.6e-07
-6.6,-4.5e-07
-6.4,-4.4e-07
-6.2,-4.4e-07
-6.0,-4.2e-07
-5.8,-4.1e-07
-5.6,-4e-07
-5.4,-3.9e-07
-5.2,-3.9e-07
-5.0,-3.8e-07
-4.8,-3.7e-07
-4.6,-3.6e-07
-4.4,-3.5e-07
-4.2,-3.5e-07
-4.0,-3.4e-07
-3.8,-3.3e-07
-3.6,-3.2e-07
-3.4,-3.1e-07
-3.2,-3e-07
-3.0,-2.9e-07
-2.8,-2.8e-07
-2.6,-2.7e-07
-2.4,-2.7e-07
-2.2,-2.6e-07
-2.0,-2.4e-07
-1.8,-2.3e-07
-1.6,-2.3e-07
-1.4,-1.2e-07
-1.2,-1.2e-07
-1.0,-2.1e-07
-0.8,-2e-07
-0.6,-1.8e-07
-0.4,-1.6e-07
-0.2,-1.3e-07
0.0,-1.1e-07
0.2,-8e-08
0.4,-4e-08
0.6,0.0
0.8,5e-08
1.0,1e-07
1.2,1.6e-07
1.4,2.3e-07
1.6,2.9e-07
1.8,3.6e-07
2.0,4.3e-07
2.2,5.1e-07
2.4,5.8e-07
2.6,6.5e-07
2.8,7.2e-07
3.0,7.8e-07
3.2,8.5e-07
3.4,9.2e-07
3.6,9.9e-07
3.8,1.05e-06
4.0,1.11e-06
4.2,1.17e-06
4.4,1.24e-06
4.6,1.31e-06
4.8,1.38e-06
5.0,1.45e-06
5.2,1.53e-06
5.4,1.63e-06
5.6,1.76e-06
5.8,1.96e-06
6.0,2.23e-06
6.2,2.57e-06
6.4,2.99e-06
6.6,3.5e-06
6.8,4.1e-06
7.0,4.76e-06
7.2,5.49e-06
7.4,6.3e-06
7.6,7.21e-06
7.8,8.24e-06
8.0,9.4e-06
8.2,1.051e-05
8.4,1.17e-05
8.6,1.307e-05
8.8,1.45e-05
9.0,1.605e-05
9.2,1.77e-05
9.4,1.941e-05
10.0,2.52e-05
10.2,2.71e-05
10.4,2.94e-05
10.6,3.16e-05
10.8,3.38e-05
11.0,3.61e-05
11.2,3.83e-05
11.4,4.07e-05
11.6,4.3e-05
11.8,4.52e-05
12.0,4.74e-05
12.2,4.97e-05
12.4,5.2e-05
12.6,5.43e-05
12.8,5.64e-05
13.0,5.85e-05
13.2,6.06e-05
13.4,6.26e-05
13.6,6.47e-05
13.8,6.69e-05
14.0,6.89e-05
14.2,7.09e-05
14.4,7.28e-05
14.6,7.47e-05
14.8,7.66e-05
15.0,7.86e-05
15.2,8.04e-05
15.4,8.22e-05
15.6,8.45e-05
15.8,8.64e-05
16.0,8.81e-05
16.2,8.98e-05
16.4,9.15e-05
16.6,9.32e-05
16.8,9.48e-05
17.0,9.66e-05
17.2,9.83e-05
17.4,9.99e-05
17.6,0.0001015
17.8,0.0001031
18.0,0.0001047
18.2,0.0001064
18.4,0.000108
18.6,0.0001095
18.8,0.000111
19.0,0.0001126
19.2,0.0001141
19.4,0.0001155
19.6,0.0001171
19.8,0.0001187
20.0,0.0001202
20.2,0.000122
20.4,0.0001238
20.6,0.0001257
20.8,0.0001275
21.0,0.0001292
21.2,0.000131
21.4,0.000133
21.6,0.0001351
21.8,0.0001373
22.0,0.0001396
22.2,0.000142
22.4,0.0001445
22.6,0.0001473
22.8,0.0001503
23.0,0.0001535
23.2,0.0001569
23.4,0.0001604
23.6,0.0001642
23.8,0.0001684
24.0,0.0001728
24.2,0.0001773
24.4,0.0001823
24.6,0.0001877
24.8,0.0001936
0.0,0.0
0.0,-2e-07
0.0,-2e-07
0.0,-2e-07
0.0,-1.9e-07
0.0,-1.9e-07
0.0,-1.8e-07
0.0,-1.8e-07
0.0,-1.8e-07
0.0,-1.7e-07
0.0,-1.7e-07
0.0,-1.7e-07
0.0,-1.7e-07
0.0,-1.6e-07
0.0,-1.6e-07
0.0,-1.6e-07
0.0,-1.6e-07
0.0,-1.6e-07
0.0,-1.5e-07
0.0,-1.5e-07
0.0,-1.5e-07
