V(V),I(A)
-10.0,-9.2e-07
-9.8,-1.18e-06
-9.6,-1.12e-06
-9.4,-1.11e-06
-9.2,-1.11e-06
-9.0,-1.1e-06
-8.8,-1.09e-06
-8.6,-1.08e-06
-8.4,-1.08e-06
-8.2,-1.07e-06
-8.0,-1.05e-06
-7.8,-1.05e-06
-7.6,-1.04e-06
-7.4,-1.04e-06
-7.2,-1.03e-06
-7.0,-1.02e-06
-6.8,-1.01e-06
-6.6,-1e-06
-6.4,-9.9e-07
-6.2,-9.8e-07
-6.0,-9.7e-07
-5.8,-9.6e-07
-5.6,-9.5e-07
-5.4,-9.5e-07
-5.2,-9.4e-07
-5.0,-9.2e-07
-4.8,-9.2e-07
-4.6,-9.1e-07
-4.4,-9e-07
-4.2,-8.9e-07
-4.0,-8.8e-07
-3.8,-8.7e-07
-3.6,-8.6e-07
-3.4,-8.5e-07
-3.2,-8.5e-07
-3.0,-8.4e-07
-2.8,-8.3e-07
-2.6,-8.2e-07
-2.4,-8.1e-07
-2.2,-8e-07
-2.0,-7.9e-07
-1.8,-7.8e-07
-1.6,-7.7e-07
-1.4,-7.6e-07
-1.2,-7.6e-07
-1.0,-7.5e-07
-0.8,-7.4e-07
-0.6,-7.3e-07
-0.4,-7.2e-07
-0.2,-7.1e-07
0.0,-7.1e-07
0.2,-7e-07
0.4,-6.9e-07
0.6,-6.9e-07
0.8,-6.8e-07
1.0,-6.7e-07
1.2,-6.6e-07
1.4,-6.6e-07
1.6,-6.5e-07
1.8,-6.4e-07
2.0,-6.3e-07
2.2,-6.3e-07
2.4,-6.2e-07
2.6,-6.1e-07
2.8,-6e-07
3.0,-5.9e-07
3.2,-5.8e-07
3.4,-5.7e-07
3.6,-5.6e-07
3.8,-5.6e-07
4.0,-5.5e-07
4.2,-5.4e-07
4.4,-5.3e-07
4.6,-5.2e-07
4.8,-5.1e-07
5.0,-5e-07
5.2,-4.9e-07
5.4,-4.8e-07
5.6,-4.8e-07
5.8,-4.6e-07
6.0,-4.5e-07
6.2,-4.4e-07
6.4,-4.3e-07
6.6,-4.2e-07
6.8,-4.1e-07
7.0,-4e-07
7.2,-3.9e-07
7.4,-3.8e-07
7.6,-3.7e-07
7.8,-3.6e-07
8.0,-3.5e-07
8.2,-3.4e-07
8.4,-3.3e-07
8.6,-3.2e-07
8.8,-3.1e-07
9.0,-2.9e-07
9.2,-2.9e-07
9.4,-2.8e-07
9.6,-2.7e-07
9.8,-2.6e-07
10.0,-2.5e-07
10.2,-2.4e-07
10.4,-2.2e-07
10.6,-2.1e-07
10.8,-2e-07
11.0,-1.9e-07
11.2,-4e-08
11.4,-2e-08
11.6,-1.4e-07
11.8,-1.2e-07
12.0,-1e-07
12.2,-9e-08
12.4,-7e-08
12.6,-4e-08
12.8,-2e-08
13.0,1e-08
13.2,5e-08
13.4,9e-08
13.6,1.3e-07
13.8,1.9e-07
14.0,2.5e-07
14.2,3.2e-07
14.4,4e-07
14.6,4.9e-07
14.8,5.9e-07
15.0,6.8e-07
15.2,7.9e-07
15.4,9.1e-07
15.6,1.02e-06
15.8,1.13e-06
16.0,1.25e-06
16.2,1.37e-06
16.4,1.48e-06
16.6,1.6e-06
16.8,1.72e-06
17.0,1.84e-06
17.2,1.95e-06
17.4,2.07e-06
17.6,2.18e-06
17.8,2.31e-06
18.0,2.42e-06
18.2,2.54e-06
18.4,2.65e-06
18.6,2.77e-06
18.8,2.93e-06
19.0,3.14e-06
19.2,3.42e-06
19.4,3.8e-06
19.6,4.34e-06
19.8,5.04e-06
20.0,6.15e-06
20.2,7.09e-06
20.4,7.77e-06
20.6,8.81e-06
20.8,9.95e-06
21.0,1.122e-05
21.2,1.259e-05
21.4,1.401e-05
21.6,1.541e-05
21.8,1.694e-05
22.0,1.871e-05
22.6,2.53e-05
22.8,2.75e-05
23.0,3.04e-05
23.2,3.36e-05
23.4,3.72e-05
23.6,4.12e-05
23.8,4.53e-05
24.0,4.93e-05
24.2,5.33e-05
24.4,5.74e-05
24.6,6.15e-05
24.8,6.56e-05
25.0,6.94e-05
25.2,7.31e-05
25.4,7.68e-05
25.6,8.05e-05
25.8,8.41e-05
26.0,8.8e-05
26.2,9.16e-05
26.4,9.46e-05
26.6,9.79e-05
26.8,0.0001012
27.0,0.0001045
27.2,0.0001077
27.4,0.0001107
27.6,0.0001138
27.8,0.0001168
28.0,0.0001198
28.2,0.0001229
28.4,0.000126
28.6,0.0001289
28.8,0.0001318
29.0,0.0001347
29.2,0.0001376
29.4,0.0001405
29.6,0.0001432
29.8,0.000146
30.0,0.0001488
