V(V),I(A)
-10.0,-5.7e-07
-9.8,-8.2e-07
-9.6,-7.6e-07
-9.4,-7.6e-07
-9.2,-7.6e-07
-9.0,-7.5e-07
-8.8,-7.5e-07
-8.6,-7.4e-07
-8.4,-7.3e-07
-8.2,-7.3e-07
-8.0,-7.2e-07
-7.8,-7.1e-07
-7.6,-7e-07
-7.4,-6.9e-07
-7.2,-6.8e-07
-7.0,-6.7e-07
-6.8,-6.7e-07
-6.6,-6.6e-07
-6.4,-6.5e-07
-6.2,-6.4e-07
-6.0,-6.3e-07
-5.8,-6.2e-07
-5.6,-6.1e-07
-5.4,-6.1e-07
-5.2,-6e-07
-5.0,-5.9e-07
-4.8,-5.8e-07
-4.6,-5.7e-07
-4.4,-5.6e-07
-4.2,-5.6e-07
-4.0,-5.5e-07
-3.8,-5.4e-07
-3.6,-5.3e-07
-3.4,-5.2e-07
-3.2,-5.1e-07
-3.0,-5e-07
-2.8,-4.9e-07
-2.6,-4.8e-07
-2.4,-4.8e-07
-2.2,-4.7e-07
-2.0,-4.6e-07
-1.8,-4.5e-07
-1.6,-4.4e-07
-1.4,-4.3e-07
-1.2,-4.2e-07
-1.0,-4.1e-07
-0.8,-4.1e-07
-0.6,-4e-07
-0.4,-3.9e-07
-0.2,-3.8e-07
0.0,-3.7e-07
0.2,-3.6e-07
0.4,-3.6e-07
0.6,-3.5e-07
0.8,-3.4e-07
1.0,-3.3e-07
1.2,-3.3e-07
1.4,-3.2e-07
1.6,-3e-07
1.8,-3e-07
2.0,-2.9e-07
2.2,-2.8e-07
2.4,-2.7e-07
2.6,-2.6e-07
2.8,-2.4e-07
3.0,-2.3e-07
3.2,-2.2e-07
3.4,-2.1e-07
3.6,-1.9e-07
3.8,-1.8e-07
4.0,-1.5e-07
4.2,-1.2e-07
4.4,-1e-07
4.6,-6e-08
4.8,-3e-08
5.0,2e-08
5.2,8e-08
5.4,1.5e-07
5.6,2.2e-07
5.8,3e-07
6.0,3.9e-07
6.2,4.8e-07
6.4,5.7e-07
6.6,6.7e-07
6.8,7.7e-07
7.0,8.7e-07
7.2,9.6e-07
7.4,1.06e-06
7.6,1.15e-06
7.8,1.25e-06
8.0,1.35e-06
8.2,1.44e-06
8.4,1.53e-06
8.6,1.63e-06
8.8,1.71e-06
9.0,1.8e-06
9.2,1.9e-06
9.4,2e-06
9.6,2.11e-06
9.8,2.24e-06
10.0,2.41e-06
10.2,2.63e-06
10.4,2.96e-06
10.6,3.44e-06
10.8,4.01e-06
11.0,4.65e-06
11.2,5.39e-06
11.4,6.23e-06
11.6,7.2e-06
11.8,8.24e-06
12.0,9.35e-06
12.2,1.05e-05
12.4,1.179e-05
12.6,1.317e-05
12.8,1.469e-05
13.0,1.634e-05
13.2,1.799e-05
13.4,1.98e-05
14.0,2.67e-05
14.2,2.9e-05
14.4,3.18e-05
14.6,3.47e-05
14.8,3.77e-05
15.0,4.1e-05
15.2,4.43e-05
15.4,4.77e-05
15.6,5.09e-05
15.8,5.4e-05
16.0,5.72e-05
16.2,6.03e-05
16.4,6.34e-05
16.6,6.66e-05
16.8,6.97e-05
17.0,7.27e-05
17.2,7.56e-05
17.4,7.85e-05
17.6,8.15e-05
17.8,8.43e-05
18.0,8.71e-05
18.2,8.99e-05
18.4,9.26e-05
18.6,9.53e-05
18.8,9.78e-05
19.0,0.0001001
19.2,0.0001023
19.4,0.0001047
19.6,0.000107
19.8,0.0001093
20.0,0.0001117
20.2,0.000114
20.4,0.0001163
20.6,0.0001187
20.8,0.000121
21.0,0.0001235
21.2,0.0001258
21.4,0.0001281
21.6,0.0001304
21.8,0.0001333
22.0,0.0001349
22.2,0.0001371
22.4,0.0001392
22.6,0.0001413
22.8,0.0001434
23.0,0.0001455
23.2,0.0001476
23.4,0.0001498
23.6,0.0001518
23.8,0.0001538
24.0,0.0001558
24.2,0.0001579
24.4,0.0001601
24.6,0.0001622
24.8,0.0001643
25.0,0.0001665
25.2,0.0001687
25.4,0.0001709
25.6,0.0001734
25.8,0.0001758
26.0,0.0001783
26.2,0.0001809
26.4,0.0001837
26.6,0.0001868
26.8,0.0001901
27.0,0.0001936
27.2,0.0001972
28.0,0.000215
28.2,0.000219
28.4,0.000224
28.6,0.000229
28.8,0.000235
29.0,0.000241
29.2,0.000248
29.4,0.000255
29.6,0.000263
29.8,0.000271
30.0,0.000281
