V(V),I(A)
-10.0,-2.21e-06
-10.0,-2.59e-06
-9.8,-2.74e-06
-9.6,-2.75e-06
-9.4,-2.75e-06
-9.2,-2.76e-06
-9.0,-2.75e-06
-8.8,-2.74e-06
-8.6,-2.73e-06
-8.4,-2.72e-06
-8.2,-2.7e-06
-8.0,-2.69e-06
-7.8,-2.7e-06
-7.6,-2.71e-06
-7.4,-2.71e-06
-7.2,-2.7e-06
-7.0,-2.69e-06
-6.8,-2.67e-06
-6.6,-2.65e-06
-6.4,-2.63e-06
-6.2,-2.62e-06
-6.0,-2.6e-06
-5.8,-2.58e-06
-5.6,-2.56e-06
-5.4,-2.55e-06
-5.2,-2.54e-06
-5.0,-2.52e-06
-4.8,-2.5e-06
-4.6,-2.48e-06
-4.4,-2.47e-06
-4.2,-2.45e-06
-4.0,-2.45e-06
-3.8,-2.44e-06
-3.6,-2.43e-06
-3.4,-2.42e-06
-3.2,-2.4e-06
-3.0,-2.39e-06
-2.8,-2.38e-06
-2.6,-2.36e-06
-2.4,-2.35e-06
-2.2,-2.34e-06
-2.0,-2.33e-06
-1.8,-2.32e-06
-1.6,-2.31e-06
-1.4,-2.3e-06
-1.2,-2.29e-06
-1.0,-2.28e-06
-0.8,-2.26e-06
-0.6,-2.25e-06
-0.4,-2.24e-06
-0.2,-2.24e-06
0.0,-2.23e-06
0.2,-2.22e-06
0.4,-2.21e-06
0.6,-2.2e-06
0.8,-2.19e-06
1.0,-2.18e-06
1.2,-2.18e-06
1.4,-2.16e-06
1.6,-2.15e-06
1.8,-2.15e-06
2.0,-2.14e-06
2.2,-2.13e-06
2.4,-2.12e-06
2.6,-2.11e-06
2.8,-2.1e-06
3.0,-2.09e-06
3.2,-2.07e-06
3.4,-2.06e-06
3.6,-2.05e-06
3.8,-2.04e-06
4.0,-2.03e-06
4.2,-2.01e-06
4.4,-1.99e-06
4.6,-1.98e-06
4.8,-1.97e-06
5.0,-1.96e-06
5.2,-1.94e-06
5.4,-1.91e-06
5.6,-1.9e-06
