V(V),I(A)
-10.0,-3.15e-06
-9.8,-4.29e-06
-9.6,-4.46e-06
-9.4,-4.42e-06
-9.2,-4.39e-06
-9.0,-4.36e-06
-8.8,-4.33e-06
-8.6,-4.3e-06
-8.4,-4.26e-06
-8.2,-4.23e-06
-8.0,-4.19e-06
-7.8,-4.16e-06
-7.6,-4.13e-06
-7.4,-4.09e-06
-7.2,-4.05e-06
-7.0,-4.02e-06
-6.8,-3.98e-06
-6.6,-3.94e-06
-6.4,-3.9e-06
-6.2,-3.86e-06
-6.0,-3.83e-06
-5.8,-3.79e-06
-5.6,-3.76e-06
-5.4,-3.72e-06
-5.2,-3.68e-06
-5.0,-3.64e-06
-4.8,-3.61e-06
-4.6,-3.58e-06
-4.4,-3.54e-06
-4.2,-3.5e-06
-4.0,-3.46e-06
-3.8,-3.42e-06
-3.6,-3.38e-06
-3.4,-3.34e-06
-3.2,-3.31e-06
-3.0,-3.27e-06
-2.8,-3.23e-06
-2.6,-3.19e-06
-2.4,-3.16e-06
-2.2,-3.12e-06
-2.0,-3.08e-06
-1.8,-3.04e-06
-1.6,-3e-06
-1.4,-2.96e-06
-1.2,-2.93e-06
-1.0,-2.89e-06
-0.8,-2.85e-06
-0.6,-2.82e-06
-0.4,-2.78e-06
-0.2,-2.74e-06
0.0,-2.7e-06
0.2,-2.66e-06
0.4,-2.62e-06
0.6,-2.59e-06
0.8,-2.55e-06
1.0,-2.52e-06
1.2,-2.48e-06
1.4,-2.44e-06
1.6,-2.41e-06
1.8,-2.37e-06
2.0,-2.33e-06
2.2,-2.3e-06
2.4,-2.26e-06
2.6,-2.22e-06
2.8,-2.19e-06
3.0,-2.15e-06
3.2,-2.11e-06
3.4,-2.07e-06
3.6,-2.04e-06
3.8,-2e-06
4.0,-1.96e-06
4.2,-1.92e-06
4.4,-1.89e-06
4.6,-1.73e-06
4.8,-1.7e-06
5.0,-1.78e-06
5.2,-1.74e-06
5.4,-1.7e-06
5.6,-1.66e-06
5.8,-1.62e-06
6.0,-1.59e-06
6.2,-1.55e-06
6.4,-1.51e-06
6.6,-1.48e-06
6.8,-1.44e-06
7.0,-1.4e-06
7.2,-1.37e-06
7.4,-1.33e-06
7.6,-1.3e-06
7.8,-1.27e-06
8.0,-1.23e-06
8.2,-1.2e-06
8.4,-1.17e-06
8.6,-1.13e-06
8.8,-1.1e-06
9.0,-1.07e-06
9.2,-1.03e-06
9.4,-9.9e-07
9.6,-9.6e-07
9.8,-9.3e-07
10.0,-8.9e-07
10.2,-8.6e-07
10.4,-8.3e-07
10.6,-7.9e-07
10.8,-7.6e-07
11.0,-7.3e-07
11.2,-6.9e-07
11.4,-6.6e-07
11.6,-6.2e-07
11.8,-5.9e-07
12.0,-5.5e-07
12.2,-5.2e-07
12.4,-4.8e-07
12.6,-4.4e-07
12.8,-4.1e-07
13.0,-3.7e-07
13.2,-3.4e-07
13.4,-3.1e-07
13.6,-2.7e-07
13.8,-2.3e-07
14.0,-1.9e-07
14.2,-1.6e-07
14.4,-1.2e-07
14.6,-8e-08
14.8,-5e-08
15.0,-1e-08
15.2,2e-08
15.4,6e-08
15.6,9e-08
15.8,1.3e-07
16.0,1.6e-07
16.2,2e-07
16.4,2.4e-07
16.6,2.7e-07
16.8,3.1e-07
17.0,3.5e-07
17.2,3.9e-07
17.4,4.3e-07
