V(V),I(A)
-10.0,-2.23e-06
-9.8,-3.39e-06
-9.6,-3.56e-06
-9.4,-3.52e-06
-9.2,-3.49e-06
-9.0,-3.45e-06
-8.8,-3.42e-06
-8.6,-3.38e-06
-8.4,-3.35e-06
-8.2,-3.31e-06
-8.0,-3.27e-06
-7.8,-3.24e-06
-7.6,-3.2e-06
-7.4,-3.16e-06
-7.2,-3.12e-06
-7.0,-3.08e-06
-6.8,-3.05e-06
-6.6,-3.01e-06
-6.4,-2.98e-06
-6.2,-2.94e-06
-6.0,-2.9e-06
-5.8,-2.86e-06
-5.6,-2.83e-06
-5.4,-2.79e-06
-5.2,-2.76e-06
-5.0,-2.72e-06
-4.8,-2.68e-06
-4.6,-2.64e-06
-4.4,-2.6e-06
-4.2,-2.56e-06
-4.0,-2.53e-06
-3.8,-2.49e-06
-3.6,-2.45e-06
-3.4,-2.41e-06
-3.2,-2.37e-06
-3.0,-2.34e-06
-2.8,-2.3e-06
-2.6,-2.26e-06
-2.4,-2.22e-06
-2.2,-2.19e-06
-2.0,-2.15e-06
-1.8,-2.11e-06
-1.6,-2.07e-06
-1.4,-2.04e-06
-1.2,-2e-06
-1.0,-1.96e-06
-0.8,-1.92e-06
-0.6,-1.88e-06
-0.4,-1.84e-06
-0.2,-1.81e-06
0.0,-1.77e-06
0.2,-1.73e-06
0.4,-1.7e-06
0.6,-1.66e-06
0.8,-1.62e-06
1.0,-1.58e-06
1.2,-1.54e-06
1.4,-1.51e-06
1.6,-1.47e-06
1.8,-1.43e-06
2.0,-1.39e-06
2.2,-1.35e-06
2.4,-1.2e-06
2.6,-1.16e-06
2.8,-1.25e-06
3.0,-1.21e-06
3.2,-1.17e-06
3.4,-1.13e-06
3.6,-1.08e-06
3.8,-1.04e-06
4.0,-1.01e-06
4.2,-9.7e-07
4.4,-9.3e-07
4.6,-8.9e-07
4.8,-8.5e-07
5.0,-8.1e-07
5.2,-7.7e-07
5.4,-7.3e-07
5.6,-6.9e-07
5.8,-6.5e-07
6.0,-6.1e-07
6.2,-5.7e-07
6.4,-5.4e-07
6.6,-5e-07
6.8,-4.6e-07
7.0,-4.2e-07
7.2,-3.9e-07
7.4,-3.5e-07
7.6,-3.1e-07
7.8,-2.7e-07
8.0,-2.3e-07
8.2,-1.9e-07
8.4,-1.5e-07
8.6,-1.2e-07
8.8,-8e-08
9.0,-4e-08
9.2,0.0
9.4,4e-08
9.6,8e-08
9.8,1.1e-07
10.0,1.5e-07
10.2,1.9e-07
10.4,2.2e-07
10.6,2.6e-07
10.8,2.9e-07
11.0,3.3e-07
11.2,3.7e-07
11.4,4e-07
11.6,4.4e-07
11.8,4.7e-07
12.0,5.1e-07
12.2,5.5e-07
12.4,5.9e-07
12.6,6.2e-07
12.8,6.6e-07
13.0,7e-07
13.2,7.4e-07
13.4,7.7e-07
13.6,8.1e-07
13.8,8.5e-07
14.0,8.9e-07
14.2,9.3e-07
14.4,9.7e-07
14.6,1.01e-06
14.8,1.05e-06
15.0,1.1e-06
15.2,1.14e-06
15.4,1.19e-06
15.6,1.23e-06
15.8,1.28e-06
16.0,1.34e-06
16.2,1.39e-06
16.4,1.45e-06
16.6,1.52e-06
16.8,1.59e-06
17.0,1.67e-06
17.2,1.74e-06
17.4,1.83e-06
17.6,1.92e-06
17.8,2.01e-06
18.0,2.11e-06
18.2,2.22e-06
18.4,2.33e-06
18.6,2.45e-06
18.8,2.57e-06
19.0,2.7e-06
19.2,2.82e-06
19.4,2.94e-06
19.6,3.07e-06
19.8,3.19e-06
20.0,3.31e-06
20.2,3.43e-06
20.4,3.55e-06
20.6,3.67e-06
20.8,3.8e-06
21.0,3.92e-06
21.2,4.04e-06
21.4,4.16e-06
21.6,4.29e-06
21.8,4.43e-06
22.0,4.58e-06
22.2,4.77e-06
22.4,5.01e-06
22.6,5.31e-06
22.8,5.68e-06
23.0,6.12e-06
23.2,6.63e-06
23.4,7.21e-06
23.6,7.84e-06
23.8,8.54e-06
24.0,9.29e-06
24.2,1.011e-05
24.4,1.098e-05
24.6,1.188e-05
24.8,1.281e-05
25.0,1.379e-05
25.2,1.483e-05
25.4,1.59e-05
25.6,1.705e-05
25.8,1.822e-05
26.0,1.948e-05
26.6,2.41e-05
26.8,2.56e-05
27.0,2.75e-05
27.2,2.96e-05
27.4,3.19e-05
27.6,3.44e-05
27.8,3.7e-05
28.0,3.99e-05
28.2,4.29e-05
28.4,4.61e-05
28.6,4.95e-05
28.8,5.3e-05
29.0,5.67e-05
29.2,6.04e-05
29.4,6.41e-05
29.6,6.78e-05
29.8,7.15e-05
30.0,7.51e-05
