V(V),I(A)
-10.0,-3.85e-06
-10.0,-4.84e-06
-10.0,-5e-06
-9.8,-4.98e-06
-9.8,-4.97e-06
-9.6,-4.96e-06
-9.6,-4.94e-06
-9.6,-4.94e-06
-9.4,-4.93e-06
-9.4,-4.92e-06
-9.2,-4.91e-06
-9.2,-4.89e-06
-9.2,-4.89e-06
-9.0,-4.87e-06
-9.0,-4.86e-06
-8.8,-4.84e-06
-8.8,-4.83e-06
-8.8,-4.83e-06
-8.6,-4.81e-06
-8.6,-4.79e-06
-8.4,-4.79e-06
-8.4,-4.77e-06
-8.4,-4.77e-06
-8.2,-4.74e-06
-8.2,-4.73e-06
-8.0,-4.72e-06
-8.0,-4.71e-06
-8.0,-4.7e-06
-7.8,-4.68e-06
-7.8,-4.67e-06
-7.6,-4.66e-06
-7.6,-4.65e-06
-7.6,-4.65e-06
-7.4,-4.63e-06
-7.4,-4.61e-06
-7.2,-4.6e-06
-7.2,-4.58e-06
-7.2,-4.58e-06
-7.0,-4.56e-06
-7.0,-4.55e-06
-6.8,-4.54e-06
-6.8,-4.52e-06
-6.8,-4.52e-06
-6.6,-4.5e-06
-6.6,-4.49e-06
-6.4,-4.48e-06
-6.4,-4.46e-06
-6.4,-4.46e-06
-6.2,-4.44e-06
-6.2,-4.42e-06
-6.0,-4.41e-06
-6.0,-4.39e-06
-6.0,-4.39e-06
-5.8,-4.37e-06
-5.8,-4.35e-06
-5.6,-4.35e-06
-5.6,-4.33e-06
-5.6,-4.32e-06
-5.4,-4.31e-06
-5.4,-4.3e-06
-5.2,-4.3e-06
-5.2,-4.28e-06
-5.2,-4.14e-06
-5.0,-4.24e-06
-5.0,-4.23e-06
-4.8,-4.21e-06
-4.8,-4.19e-06
-4.8,-4.19e-06
-4.6,-4.17e-06
-4.6,-4.16e-06
-4.4,-4.04e-06
-4.4,-4.02e-06
-4.4,-4.01e-06
-4.2,-4e-06
-4.2,-4.09e-06
-4.0,-4.08e-06
-4.0,-4.06e-06
-4.0,-4.06e-06
-3.8,-4.04e-06
-3.8,-4.03e-06
-3.6,-4.02e-06
-3.6,-4e-06
-3.6,-4e-06
-3.4,-3.98e-06
-3.4,-3.96e-06
-3.2,-3.96e-06
-3.2,-3.94e-06
-3.2,-3.81e-06
-3.0,-3.91e-06
-3.0,-3.78e-06
-2.8,-3.77e-06
-2.8,-3.87e-06
-2.8,-3.87e-06
-2.6,-3.85e-06
-2.6,-3.83e-06
-2.4,-3.82e-06
-2.4,-3.8e-06
-2.4,-3.8e-06
-2.2,-3.78e-06
-2.2,-3.77e-06
-2.0,-3.76e-06
-2.0,-3.73e-06
-2.0,-3.73e-06
-1.8,-3.72e-06
-1.8,-3.7e-06
-1.6,-3.69e-06
-1.6,-3.68e-06
-1.6,-3.67e-06
-1.4,-3.65e-06
-1.4,-3.64e-06
-1.2,-3.52e-06
-1.2,-3.6e-06
-1.2,-3.6e-06
-1.0,-3.58e-06
-1.0,-3.57e-06
-0.8,-3.56e-06
-0.8,-3.54e-06
-0.8,-3.53e-06
-0.6,-3.51e-06
-0.6,-3.5e-06
-0.4,-3.49e-06
-0.4,-3.46e-06
-0.4,-3.46e-06
-0.2,-3.44e-06
-0.2,-3.43e-06
0.0,-3.42e-06
0.0,-3.4e-06
0.0,-3.4e-06
0.2,-3.38e-06
0.2,-3.36e-06
0.4,-3.35e-06
0.4,-3.34e-06
0.4,-3.33e-06
0.6,-3.31e-06
0.6,-3.31e-06
0.8,-3.3e-06
0.8,-3.29e-06
0.8,-3.29e-06
1.0,-3.28e-06
1.0,-3.27e-06
1.2,-3.27e-06
1.2,-3.25e-06
1.2,-3.24e-06
1.4,-3.23e-06
1.4,-3.21e-06
1.6,-3.21e-06
1.6,-3.19e-06
1.6,-3.18e-06
1.8,-3.16e-06
1.8,-3.15e-06
2.0,-3.14e-06
2.0,-3.12e-06
2.0,-3.12e-06
2.2,-3.1e-06
2.2,-3.09e-06
2.4,-2.95e-06
2.4,-2.92e-06
2.4,-3.03e-06
2.6,-3.01e-06
2.6,-3e-06
2.8,-2.99e-06
2.8,-2.97e-06
2.8,-2.97e-06
3.0,-2.95e-06
3.0,-2.94e-06
3.2,-2.94e-06
3.2,-2.92e-06
3.2,-2.91e-06
3.4,-2.9e-06
3.4,-2.89e-06
3.6,-2.88e-06
3.6,-2.85e-06
3.6,-2.85e-06
3.8,-2.83e-06
3.8,-2.82e-06
4.0,-2.81e-06
4.0,-2.79e-06
4.0,-2.79e-06
4.2,-2.77e-06
4.2,-2.76e-06
4.4,-2.75e-06
4.4,-2.73e-06
4.4,-2.73e-06
4.6,-2.72e-06
4.6,-2.71e-06
4.8,-2.57e-06
4.8,-2.55e-06
4.8,-2.67e-06
5.0,-2.65e-06
5.0,-2.64e-06
5.2,-2.63e-06
5.2,-2.61e-06
5.2,-2.61e-06
5.4,-2.59e-06
5.4,-2.58e-06
5.6,-2.57e-06
5.6,-2.42e-06
5.6,-2.41e-06
5.8,-2.51e-06
5.8,-2.5e-06
6.0,-2.49e-06
6.0,-2.47e-06
6.0,-2.47e-06
6.2,-2.45e-06
6.2,-2.43e-06
6.4,-2.43e-06
6.4,-2.41e-06
6.4,-2.41e-06
6.6,-2.39e-06
6.6,-2.38e-06
6.8,-2.37e-06
6.8,-2.35e-06
6.8,-2.35e-06
7.0,-2.33e-06
7.0,-2.32e-06
7.2,-2.31e-06
7.2,-2.29e-06
7.2,-2.29e-06
7.4,-2.27e-06
7.4,-2.25e-06
7.6,-2.24e-06
7.6,-2.22e-06
7.6,-2.22e-06
7.8,-2.08e-06
7.8,-2.18e-06
8.0,-2.17e-06
8.0,-2.15e-06
8.0,-2.15e-06
8.2,-2.13e-06
8.2,-2.11e-06
8.4,-2.11e-06
8.4,-2.09e-06
8.4,-2.09e-06
8.6,-2.07e-06
8.6,-2.06e-06
8.8,-2.06e-06
8.8,-2.03e-06
8.8,-2.03e-06
9.0,-2.01e-06
9.0,-2e-06
9.2,-1.99e-06
9.2,-1.97e-06
9.2,-1.97e-06
9.4,-1.96e-06
9.4,-1.94e-06
9.6,-1.93e-06
9.6,-1.92e-06
9.6,-1.92e-06
9.8,-1.9e-06
9.8,-1.89e-06
10.0,-1.88e-06
10.0,-1.86e-06
10.0,-1.86e-06
10.2,-1.84e-06
10.2,-1.83e-06
10.4,-1.82e-06
10.4,-1.8e-06
10.4,-1.79e-06
10.6,-1.78e-06
10.6,-1.76e-06
10.8,-1.76e-06
10.8,-1.74e-06
10.8,-1.73e-06
11.0,-1.72e-06
11.0,-1.71e-06
11.2,-1.7e-06
11.2,-1.68e-06
11.2,-1.67e-06
11.4,-1.66e-06
11.4,-1.64e-06
11.6,-1.5e-06
11.6,-1.6e-06
11.6,-1.59e-06
11.8,-1.57e-06
11.8,-1.57e-06
12.0,-1.56e-06
12.0,-1.54e-06
12.0,-1.54e-06
12.2,-1.52e-06
12.2,-1.51e-06
12.4,-1.5e-06
12.4,-1.48e-06
12.4,-1.48e-06
12.6,-1.46e-06
12.6,-1.45e-06
12.8,-1.44e-06
12.8,-1.43e-06
12.8,-1.43e-06
13.0,-1.41e-06
13.0,-1.39e-06
13.2,-1.39e-06
13.2,-1.37e-06
13.2,-1.36e-06
13.4,-1.35e-06
13.4,-1.33e-06
13.6,-1.33e-06
13.6,-1.31e-06
13.6,-1.31e-06
13.8,-1.29e-06
13.8,-1.27e-06
14.0,-1.27e-06
14.0,-1.25e-06
14.0,-1.25e-06
14.2,-1.23e-06
14.2,-1.22e-06
14.4,-1.21e-06
14.4,-1.19e-06
14.4,-1.19e-06
14.6,-1.17e-06
14.6,-1.16e-06
14.8,-1.15e-06
14.8,-1.13e-06
14.8,-1.13e-06
15.0,-1.11e-06
15.0,-1.1e-06
15.2,-1.09e-06
15.2,-1.06e-06
15.2,-1.06e-06
15.4,-1.05e-06
15.4,-1.04e-06
15.6,-1.03e-06
15.6,-1.01e-06
15.6,-1.01e-06
15.8,-9.9e-07
15.8,-9.8e-07
16.0,-9.7e-07
16.0,-9.5e-07
16.0,-9.6e-07
16.2,-9.4e-07
16.2,-9.3e-07
16.4,-9.2e-07
16.4,-9e-07
16.4,-6.4e-07
16.6,-7.1e-07
16.6,-7e-07
16.8,-8.2e-07
16.8,-8e-07
16.8,-8.1e-07
17.0,-8e-07
17.0,-7.9e-07
17.2,-7.8e-07
17.2,-7.7e-07
17.2,-7.7e-07
17.4,-7.6e-07
17.4,-7.5e-07
17.6,-7.4e-07
17.6,-7.3e-07
17.6,-7.3e-07
17.8,-7.1e-07
17.8,-6.9e-07
18.0,-6.8e-07
18.0,-6.6e-07
18.0,-6.5e-07
18.2,-6.3e-07
18.2,-6.1e-07
18.4,-6e-07
18.4,-5.8e-07
18.4,-5.8e-07
18.6,-5.6e-07
18.6,-5.3e-07
18.8,-5.2e-07
18.8,-5e-07
18.8,-5e-07
19.0,-4.8e-07
19.0,-4.7e-07
19.2,-4.7e-07
19.2,-4.5e-07
19.2,-4.5e-07
19.4,-4.4e-07
19.4,-4.2e-07
19.6,-4.1e-07
19.6,-3.8e-07
19.6,-2.3e-07
19.8,-3.4e-07
19.8,-3.3e-07
20.0,-3.2e-07
20.0,-3e-07
20.0,-2.9e-07
20.2,-2.8e-07
20.2,-2.7e-07
20.4,-2.6e-07
20.4,-2.4e-07
20.4,-2.4e-07
20.6,-7e-08
20.6,-4e-08
20.8,-2e-08
20.8,-1.3e-07
20.8,-1.4e-07
21.0,-1.3e-07
21.0,-1.1e-07
21.2,-1.1e-07
21.2,-9e-08
21.2,-9e-08
21.4,-7e-08
21.4,-6e-08
21.6,1.16e-06
21.6,1.3e-07
21.6,-1e-08
21.8,0.0
21.8,2e-08
22.0,3e-08
22.0,5e-08
22.0,5e-08
22.2,8.9e-07
22.2,2.3e-07
22.4,9e-08
22.4,1.1e-07
22.4,2.8e-07
22.6,3e-07
22.6,1.5e-07
22.8,1.6e-07
22.8,1.8e-07
22.8,1.8e-07
23.0,2.1e-07
23.0,2.2e-07
23.2,2.3e-07
23.2,2.4e-07
23.2,2.5e-07
23.4,2.6e-07
23.4,2.8e-07
23.6,2.8e-07
23.6,3e-07
23.6,3e-07
23.8,3.2e-07
23.8,3.3e-07
24.0,3.4e-07
24.0,3.6e-07
24.0,3.6e-07
24.2,3.7e-07
24.2,3.8e-07
24.4,3.9e-07
24.4,4.1e-07
24.4,4.2e-07
24.6,4.4e-07
24.6,4.4e-07
24.8,4.5e-07
24.8,4.7e-07
24.8,4.8e-07
25.0,5e-07
25.0,5.1e-07
25.2,5.2e-07
25.2,5.4e-07
25.2,5.4e-07
25.4,5.6e-07
25.4,5.7e-07
25.6,5.8e-07
25.6,5.9e-07
25.6,5.9e-07
25.8,6e-07
25.8,6.2e-07
26.0,6.2e-07
26.0,6.4e-07
26.0,6.4e-07
26.2,6.6e-07
26.2,6.7e-07
26.4,6.7e-07
26.4,6.9e-07
26.4,7e-07
26.6,7.2e-07
26.6,7.2e-07
26.8,7.3e-07
26.8,7.5e-07
26.8,7.5e-07
27.0,7.7e-07
27.0,7.8e-07
27.2,7.9e-07
27.2,8.1e-07
27.2,8.2e-07
27.4,8.4e-07
27.4,8.5e-07
27.6,8.5e-07
27.6,8.7e-07
27.6,8.7e-07
27.8,9e-07
27.8,9.1e-07
28.0,9.2e-07
28.0,9.4e-07
28.0,9.4e-07
28.2,9.6e-07
28.2,9.8e-07
28.4,9.8e-07
28.4,1.01e-06
28.4,1.02e-06
28.6,1.03e-06
28.6,1.04e-06
28.8,1.05e-06
28.8,1.07e-06
28.8,1.07e-06
29.0,1.09e-06
29.0,1.1e-06
29.2,1.1e-06
29.2,1.12e-06
29.2,1.13e-06
29.4,1.15e-06
29.4,1.17e-06
29.6,1.17e-06
29.6,1.18e-06
29.6,1.19e-06
29.8,1.21e-06
29.8,1.23e-06
30.0,1.24e-06
30.0,1.27e-06
30.0,1.27e-06
30.2,1.29e-06
30.2,1.31e-06
30.4,1.32e-06
30.4,1.34e-06
30.4,1.34e-06
30.6,1.35e-06
30.6,1.37e-06
30.8,1.37e-06
30.8,1.39e-06
30.8,1.39e-06
31.0,1.4e-06
31.0,1.42e-06
31.2,1.42e-06
31.2,1.45e-06
31.2,1.46e-06
31.4,1.48e-06
31.4,1.5e-06
31.6,1.5e-06
31.6,1.53e-06
31.6,1.53e-06
31.8,1.55e-06
31.8,1.58e-06
32.0,1.59e-06
32.0,1.6e-06
32.0,1.61e-06
32.2,1.64e-06
32.2,1.65e-06
32.4,1.66e-06
32.4,1.68e-06
32.4,1.69e-06
32.6,1.71e-06
32.6,1.73e-06
32.8,1.73e-06
32.8,1.75e-06
32.8,1.76e-06
33.0,1.78e-06
33.0,1.79e-06
33.2,1.8e-06
33.2,1.83e-06
33.2,1.83e-06
33.4,1.85e-06
33.4,1.87e-06
33.6,1.88e-06
33.6,1.91e-06
33.6,1.91e-06
33.8,1.93e-06
33.8,1.95e-06
34.0,1.98e-06
34.0,2.01e-06
34.0,2.01e-06
34.2,2.03e-06
34.2,2.04e-06
34.4,2.04e-06
34.4,2.06e-06
34.4,2.05e-06
34.6,2.07e-06
34.6,2.07e-06
34.8,2.08e-06
34.8,2.1e-06
34.8,2.11e-06
35.0,2.32e-06
35.0,2.37e-06
35.2,2.2e-06
35.2,2.23e-06
35.2,2.23e-06
35.4,2.24e-06
35.4,2.26e-06
35.6,2.27e-06
35.6,2.29e-06
35.6,2.29e-06
35.8,2.3e-06
35.8,2.31e-06
36.0,2.32e-06
36.0,2.34e-06
36.0,2.34e-06
36.2,2.36e-06
36.2,2.37e-06
36.4,2.38e-06
36.4,2.41e-06
36.4,2.41e-06
36.6,2.43e-06
36.6,2.44e-06
36.8,2.09e-06
36.8,2.5e-06
36.8,2.51e-06
37.0,2.53e-06
37.0,2.54e-06
37.2,2.55e-06
37.2,2.57e-06
37.2,2.58e-06
37.4,2.6e-06
37.4,2.62e-06
