V(V),I(A)
-10.0,-5.72e-06
-10.0,-6.3e-06
-9.8,-6.58e-06
-9.6,-6.56e-06
-9.4,-6.54e-06
-9.2,-6.52e-06
-9.0,-6.49e-06
-8.8,-6.48e-06
-8.6,-6.45e-06
-8.4,-6.43e-06
-8.2,-6.42e-06
-8.0,-6.4e-06
-7.8,-6.38e-06
-7.6,-6.36e-06
-7.4,-6.34e-06
-7.2,-6.32e-06
-7.0,-6.31e-06
-6.8,-6.29e-06
-6.6,-6.27e-06
-6.4,-6.25e-06
-6.2,-6.23e-06
-6.0,-6.22e-06
-5.8,-6.2e-06
-5.6,-6.18e-06
-5.4,-6.16e-06
-5.2,-6.15e-06
-5.0,-6.13e-06
-4.8,-6.12e-06
-4.6,-6.1e-06
-4.4,-6.08e-06
-4.2,-6.06e-06
-4.0,-6.04e-06
-3.8,-6.03e-06
-3.6,-6.01e-06
-3.4,-5.99e-06
-3.2,-5.97e-06
-3.0,-5.96e-06
-2.8,-5.94e-06
-2.6,-5.92e-06
-2.4,-5.91e-06
-2.2,-5.89e-06
-2.0,-5.88e-06
-1.8,-5.86e-06
-1.6,-5.84e-06
-1.4,-5.83e-06
-1.2,-5.81e-06
-1.0,-5.8e-06
-0.8,-5.78e-06
-0.6,-5.76e-06
-0.4,-5.75e-06
-0.2,-5.73e-06
0.0,-5.71e-06
0.2,-5.7e-06
0.4,-5.68e-06
0.6,-5.67e-06
0.8,-5.65e-06
1.0,-5.64e-06
1.2,-5.62e-06
1.4,-5.61e-06
1.6,-5.6e-06
1.8,-5.58e-06
2.0,-5.56e-06
2.2,-5.55e-06
2.4,-5.53e-06
2.6,-5.52e-06
2.8,-5.5e-06
3.0,-5.48e-06
3.2,-5.47e-06
3.4,-5.46e-06
3.6,-5.44e-06
3.8,-5.43e-06
4.0,-5.41e-06
4.2,-5.4e-06
4.4,-5.38e-06
4.6,-5.37e-06
4.8,-5.36e-06
5.0,-5.34e-06
5.2,-5.33e-06
5.4,-5.31e-06
5.6,-5.3e-06
5.8,-5.28e-06
6.0,-5.27e-06
6.2,-5.25e-06
6.4,-5.24e-06
6.6,-5.23e-06
6.8,-5.21e-06
7.0,-5.2e-06
7.2,-5.19e-06
7.4,-5.17e-06
7.6,-5.16e-06
7.8,-5.14e-06
8.0,-5.13e-06
8.2,-5.11e-06
8.4,-5.1e-06
8.6,-5.08e-06
8.8,-5.07e-06
9.0,-5.06e-06
9.2,-5.05e-06
9.4,-5.03e-06
9.6,-5.02e-06
9.8,-5e-06
10.0,-4.99e-06
10.2,-4.98e-06
10.4,-4.96e-06
10.6,-4.95e-06
10.8,-4.94e-06
11.0,-4.92e-06
11.2,-4.91e-06
11.4,-4.89e-06
11.6,-4.88e-06
11.8,-4.86e-06
12.0,-4.85e-06
12.2,-4.84e-06
12.4,-4.82e-06
12.6,-4.81e-06
12.8,-4.79e-06
13.0,-4.78e-06
13.2,-4.77e-06
13.4,-4.75e-06
13.6,-4.74e-06
13.8,-4.73e-06
14.0,-4.71e-06
14.2,-4.7e-06
14.4,-4.69e-06
14.6,-4.68e-06
14.8,-4.66e-06
15.0,-4.65e-06
15.2,-4.64e-06
15.4,-4.61e-06
15.6,-4.6e-06
15.8,-4.58e-06
16.0,-4.56e-06
16.2,-4.54e-06
16.4,-4.53e-06
16.6,-4.51e-06
16.8,-4.49e-06
17.0,-4.49e-06
17.2,-4.46e-06
17.4,-4.42e-06
17.6,-4.39e-06
17.8,-4.39e-06
18.0,-4.38e-06
18.2,-4.36e-06
18.4,-4.34e-06
18.6,-4.31e-06
18.8,-4.3e-06
19.0,-4.29e-06
19.2,-4.29e-06
19.4,-4.27e-06
19.6,-4.25e-06
19.8,-4.24e-06
20.0,-4.22e-06
20.2,-4.19e-06
20.4,-4.17e-06
20.6,-4.16e-06
20.8,-4.15e-06
21.0,-4.13e-06
21.2,-4.11e-06
21.4,-4.09e-06
21.6,-4.08e-06
21.8,-4.06e-06
22.0,-4.04e-06
22.2,-4.02e-06
22.4,-4e-06
22.6,-3.99e-06
22.8,-3.98e-06
23.0,-3.96e-06
23.2,-3.95e-06
23.4,-3.94e-06
23.6,-3.91e-06
23.8,-3.89e-06
24.0,-3.87e-06
24.2,-3.85e-06
24.4,-3.84e-06
24.6,-3.82e-06
24.8,-3.75e-06
25.0,-3.63e-06
