V(V),I(A)
-10.0,-1.94e-06
-9.8,-1.93e-06
-9.8,-1.91e-06
-9.6,-1.92e-06
-9.6,-1.9e-06
-9.6,-1.89e-06
-9.4,-1.88e-06
-9.4,-1.86e-06
-9.2,-1.86e-06
-9.2,-1.84e-06
-9.2,-1.84e-06
-9.0,-1.82e-06
-9.0,-1.81e-06
-8.8,-1.81e-06
-8.8,-1.78e-06
-8.8,-1.78e-06
-8.6,-1.76e-06
-8.6,-1.74e-06
-8.4,-1.74e-06
-8.4,-1.72e-06
-8.4,-1.71e-06
-8.2,-1.7e-06
-8.2,-1.68e-06
-8.0,-1.68e-06
-8.0,-1.66e-06
-8.0,-1.65e-06
-7.8,-1.63e-06
-7.8,-1.61e-06
-7.6,-1.61e-06
-7.6,-1.59e-06
-7.6,-1.58e-06
-7.4,-1.57e-06
-7.4,-1.55e-06
-7.2,-1.54e-06
-7.2,-1.52e-06
-7.2,-1.51e-06
-7.0,-1.5e-06
-7.0,-1.48e-06
-6.8,-1.48e-06
-6.8,-1.46e-06
-6.8,-1.45e-06
-6.6,-1.43e-06
-6.6,-1.41e-06
-6.4,-1.41e-06
-6.4,-1.39e-06
-6.4,-1.38e-06
-6.2,-1.36e-06
-6.2,-1.34e-06
-6.0,-1.34e-06
-6.0,-1.32e-06
-6.0,-1.31e-06
-5.8,-1.29e-06
-5.8,-1.27e-06
-5.6,-1.27e-06
-5.6,-1.25e-06
-5.6,-1.24e-06
-5.4,-1.23e-06
-5.4,-1.21e-06
-5.2,-1.2e-06
-5.2,-1.18e-06
-5.2,-1.17e-06
-5.0,-1.16e-06
-5.0,-1.14e-06
-4.8,-1.13e-06
-4.8,-1.11e-06
-4.8,-1.1e-06
-4.6,-1.09e-06
-4.6,-1.07e-06
-4.4,-1.06e-06
-4.4,-1.04e-06
-4.4,-1.03e-06
-4.2,-1.02e-06
-4.2,-9.9e-07
-4.0,-9.9e-07
-4.0,-9.7e-07
-4.0,-9.7e-07
-3.8,-9.5e-07
-3.8,-9.2e-07
-3.6,-9.2e-07
-3.6,-9e-07
-3.6,-8.9e-07
-3.4,-8.7e-07
-3.4,-8.5e-07
-3.2,-8.5e-07
-3.2,-8.3e-07
-3.2,-8.2e-07
-3.0,-8e-07
-3.0,-7.8e-07
-2.8,-7.8e-07
-2.8,-7.5e-07
-2.8,-7.4e-07
-2.6,-7.3e-07
-2.6,-7e-07
-2.4,-7e-07
-2.4,-6.7e-07
-2.4,-6.6e-07
-2.2,-6.5e-07
-2.2,-6.2e-07
-2.0,-6.2e-07
-2.0,-5.9e-07
-2.0,-5.8e-07
-1.8,-5.6e-07
-1.8,-5.3e-07
-1.6,-5.3e-07
-1.6,-5e-07
-1.6,-4.9e-07
-1.4,-4.7e-07
-1.4,-4.4e-07
-1.2,-4.4e-07
-1.2,-4.1e-07
-1.2,-4e-07
-1.0,-3.8e-07
-1.0,-3.5e-07
-0.8,-3.4e-07
-0.8,-3.1e-07
-0.8,-3e-07
-0.6,-2.7e-07
-0.6,-2.4e-07
-0.4,-2.3e-07
-0.4,-2e-07
-0.4,-1.8e-07
-0.2,-1.6e-07
-0.2,-1.2e-07
0.0,-1.2e-07
0.0,-8e-08
0.0,-7e-08
0.2,-4e-08
0.2,-1e-08
0.4,0.0
0.4,4e-08
0.4,5e-08
0.6,8e-08
0.6,1.2e-07
0.8,1.2e-07
0.8,1.6e-07
0.8,1.8e-07
1.0,2e-07
1.0,2.4e-07
1.2,2.4e-07
1.2,2.8e-07
1.2,3e-07
1.4,3.3e-07
1.4,3.7e-07
1.6,3.7e-07
1.6,4.1e-07
1.6,4.3e-07
1.8,4.5e-07
1.8,5e-07
2.0,5e-07
2.0,5.4e-07
2.0,5.6e-07
2.2,5.8e-07
2.2,6.2e-07
2.4,6.3e-07
2.4,6.7e-07
2.4,6.9e-07
2.6,7.1e-07
2.6,7.5e-07
2.8,7.5e-07
2.8,8e-07
2.8,8.2e-07
3.0,8.4e-07
3.0,8.8e-07
3.2,8.9e-07
3.2,9.4e-07
3.2,9.5e-07
3.4,9.8e-07
3.4,1.02e-06
3.6,1.03e-06
3.6,1.07e-06
3.6,1.09e-06
3.8,1.12e-06
3.8,1.17e-06
4.0,1.18e-06
4.0,1.25e-06
4.0,1.29e-06
4.2,1.36e-06
4.2,1.48e-06
4.4,1.48e-06
4.4,1.68e-06
4.4,1.73e-06
4.6,1.88e-06
4.6,2.12e-06
4.8,2.1e-06
4.8,2.43e-06
4.8,2.52e-06
5.0,2.72e-06
5.0,3.06e-06
5.2,3.02e-06
5.2,3.46e-06
5.2,3.59e-06
5.4,3.83e-06
5.4,4.26e-06
5.6,4.19e-06
5.6,4.64e-06
5.6,4.76e-06
5.8,5e-06
5.8,5.44e-06
6.0,5.38e-06
6.0,5.88e-06
6.0,6.05e-06
6.2,6.32e-06
6.2,6.81e-06
6.4,6.74e-06
6.4,7.26e-06
6.4,7.42e-06
6.6,7.67e-06
6.6,8.18e-06
6.8,8.13e-06
6.8,8.67e-06
6.8,8.84e-06
7.0,9.08e-06
7.0,9.58e-06
7.2,9.49e-06
7.2,1e-05
7.2,1.016e-05
7.4,1.042e-05
7.4,1.091e-05
7.6,1.08e-05
7.6,1.131e-05
7.6,1.146e-05
7.8,1.17e-05
7.8,1.219e-05
8.0,1.208e-05
8.0,1.26e-05
8.0,1.275e-05
8.2,1.3e-05
8.2,1.351e-05
8.4,1.34e-05
8.4,1.392e-05
8.4,1.408e-05
8.6,1.429e-05
8.6,1.47e-05
8.8,1.449e-05
8.8,1.494e-05
8.8,1.504e-05
9.0,1.522e-05
9.0,1.565e-05
9.2,1.548e-05
9.2,1.597e-05
9.2,1.608e-05
9.4,1.627e-05
9.4,1.674e-05
9.6,1.659e-05
9.6,1.71e-05
9.6,1.724e-05
9.8,1.748e-05
9.8,1.796e-05
10.0,1.781e-05
10.0,1.83e-05
10.0,1.841e-05
