V(V),I(A)
5.0,-2e-07
5.0,1e-07
5.2,2.8e-07
5.4,3.2e-07
5.6,3.6e-07
5.8,4e-07
6.0,4.6e-07
6.2,5.1e-07
6.4,5.6e-07
6.6,6e-07
6.8,6.4e-07
7.0,6.9e-07
7.2,7.2e-07
7.4,7.6e-07
7.6,8e-07
7.8,8.5e-07
8.0,9e-07
8.2,9.7e-07
8.4,1.07e-06
8.6,1.25e-06
8.8,1.5e-06
9.0,1.84e-06
9.2,2.21e-06
9.4,2.62e-06
9.6,3.09e-06
9.8,3.61e-06
10.0,4.17e-06
10.2,4.73e-06
10.4,5.4e-06
10.6,6.16e-06
10.8,7e-06
11.0,7.88e-06
11.2,8.81e-06
11.4,9.84e-06
11.6,1.1e-05
11.8,1.227e-05
12.0,1.375e-05
12.2,1.553e-05
12.4,1.755e-05
12.6,1.968e-05
13.2,2.62e-05
13.4,2.83e-05
13.6,3.04e-05
13.8,3.25e-05
14.0,3.46e-05
14.2,3.66e-05
14.4,3.85e-05
14.6,4.05e-05
14.8,4.25e-05
15.0,4.43e-05
15.2,4.6e-05
15.4,4.77e-05
15.6,4.95e-05
15.8,5.12e-05
16.0,5.3e-05
16.2,5.47e-05
16.4,5.63e-05
16.6,5.8e-05
16.8,5.97e-05
17.0,6.13e-05
17.2,6.3e-05
17.4,6.46e-05
17.6,6.62e-05
17.8,6.78e-05
18.0,6.93e-05
18.2,7.08e-05
18.4,7.22e-05
18.6,7.36e-05
18.8,7.5e-05
19.0,7.64e-05
19.2,7.77e-05
19.4,7.9e-05
19.6,8.03e-05
19.8,8.17e-05
20.0,8.3e-05
20.2,8.42e-05
20.4,8.55e-05
20.6,8.67e-05
20.8,8.79e-05
21.0,8.91e-05
21.2,9.02e-05
21.4,9.14e-05
21.6,9.25e-05
21.8,9.36e-05
22.0,9.47e-05
22.2,9.59e-05
22.4,9.7e-05
22.6,9.8e-05
22.8,9.92e-05
23.0,0.0001002
23.2,0.0001013
23.4,0.0001024
23.6,0.0001035
23.8,0.0001047
24.0,0.0001059
24.2,0.0001071
24.4,0.0001083
24.6,0.0001096
24.8,0.000111
25.0,0.0001124
