V(V),I(A)
-10.0,-3e-08
-10.0,-4.4e-07
-9.8,-5.7e-07
-9.6,-5.6e-07
-9.4,-5.5e-07
-9.2,-5.4e-07
-9.0,-5.3e-07
-8.8,-5.3e-07
-8.6,-5.2e-07
-8.4,-5.1e-07
-8.2,-5e-07
-8.0,-5e-07
-7.8,-4.9e-07
-7.6,-4.7e-07
-7.4,-4.7e-07
-7.2,-4.6e-07
-7.0,-4.5e-07
-6.8,-4.4e-07
-6.6,-4.3e-07
-6.4,-4.2e-07
-6.2,-4.1e-07
-6.0,-4e-07
-5.8,-4e-07
-5.6,-3.9e-07
-5.4,-3.8e-07
-5.2,-3.7e-07
-5.0,-3.6e-07
-4.8,-3.5e-07
-4.6,-3.4e-07
-4.4,-3.3e-07
-4.2,-3.2e-07
-4.0,-3.1e-07
-3.8,-3.1e-07
-3.6,-3e-07
-3.4,-2.8e-07
-3.2,-2.7e-07
-3.0,-2.7e-07
-2.8,-2.6e-07
-2.6,-2.5e-07
-2.4,-2.4e-07
-2.2,-2.3e-07
-2.0,-2.2e-07
-1.8,-2.1e-07
-1.6,-1.5e-07
-1.0,-2e-07
-0.4,-1.2e-07
-0.2,-1e-07
0.0,-7e-08
0.2,-3e-08
0.4,1e-08
0.6,5e-08
0.8,9e-08
1.0,1.5e-07
1.2,2e-07
1.4,2.7e-07
1.6,3.3e-07
1.8,3.8e-07
2.0,4.5e-07
2.2,5.1e-07
2.4,5.7e-07
2.6,6.3e-07
2.8,6.8e-07
3.0,7.4e-07
3.2,8e-07
3.4,8.5e-07
3.6,9.1e-07
3.8,9.6e-07
4.0,1.02e-06
4.2,1.07e-06
4.4,1.13e-06
4.6,1.19e-06
4.8,1.26e-06
5.0,1.32e-06
5.2,1.41e-06
5.4,1.53e-06
5.6,1.7e-06
5.8,1.94e-06
6.0,2.23e-06
6.2,2.61e-06
6.4,3.05e-06
6.6,3.55e-06
6.8,4.15e-06
7.0,4.8e-06
7.2,5.49e-06
7.4,6.26e-06
7.6,7.12e-06
7.8,8.08e-06
8.0,9.16e-06
8.2,1.03e-05
8.4,1.154e-05
8.6,1.287e-05
8.8,1.426e-05
9.0,1.579e-05
9.2,1.743e-05
9.4,1.913e-05
10.0,2.46e-05
10.2,2.62e-05
10.4,2.8e-05
10.6,2.99e-05
10.8,3.18e-05
11.0,3.37e-05
11.2,3.56e-05
11.4,3.76e-05
11.6,3.94e-05
11.8,4.13e-05
12.0,4.31e-05
12.2,4.49e-05
12.4,4.68e-05
12.6,4.87e-05
12.8,5.05e-05
13.0,5.23e-05
13.2,5.41e-05
13.4,5.58e-05
13.6,5.76e-05
13.8,5.93e-05
14.0,6.11e-05
14.2,6.28e-05
14.4,6.45e-05
14.6,6.62e-05
14.8,6.79e-05
15.0,6.96e-05
15.2,7.12e-05
15.4,7.28e-05
15.6,7.44e-05
15.8,7.59e-05
16.0,7.75e-05
16.2,7.91e-05
16.4,8.05e-05
16.6,8.2e-05
16.8,8.35e-05
17.0,8.5e-05
17.2,8.65e-05
17.4,8.79e-05
17.6,8.92e-05
17.8,9.06e-05
18.0,9.19e-05
18.2,9.33e-05
18.4,9.46e-05
18.6,9.59e-05
18.8,9.72e-05
19.0,9.85e-05
19.2,9.98e-05
19.4,0.0001011
19.6,0.0001025
19.8,0.0001039
20.0,0.0001053
20.2,0.0001067
20.4,0.0001083
20.6,0.0001099
20.8,0.0001116
21.0,0.0001132
21.2,0.0001151
21.4,0.000117
21.6,0.0001192
21.8,0.0001215
22.0,0.0001238
22.2,0.0001262
22.4,0.0001287
22.6,0.0001315
22.8,0.0001346
23.0,0.0001377
23.2,0.000141
23.4,0.0001444
23.6,0.0001482
23.8,0.0001522
24.0,0.0001568
24.2,0.0001615
24.4,0.0001667
24.6,0.0001724
24.8,0.0001788
25.0,0.000186
