V(V),I(A)
-10.0,-2.95e-06
-10.0,-3.4e-06
-9.8,-3.61e-06
-9.6,-3.63e-06
-9.4,-3.62e-06
-9.2,-3.61e-06
-9.0,-3.6e-06
-8.8,-3.58e-06
-8.6,-3.57e-06
-8.4,-3.56e-06
-8.2,-3.55e-06
-8.0,-3.54e-06
-7.8,-3.52e-06
-7.6,-3.5e-06
-7.4,-3.49e-06
-7.2,-3.48e-06
-7.0,-3.47e-06
-6.8,-3.46e-06
-6.6,-3.44e-06
-6.4,-3.42e-06
-6.2,-3.41e-06
-6.0,-3.4e-06
-5.8,-3.38e-06
-5.6,-3.36e-06
-5.4,-3.34e-06
-5.2,-3.32e-06
-5.0,-3.3e-06
-4.8,-3.29e-06
-4.6,-3.28e-06
-4.4,-3.27e-06
-4.2,-3.26e-06
-4.0,-3.23e-06
-3.8,-3.21e-06
-3.6,-3.2e-06
-3.4,-3.18e-06
-3.2,-3.16e-06
-3.0,-3.15e-06
-2.8,-3.13e-06
-2.6,-3.12e-06
-2.4,-3.11e-06
-2.2,-3.1e-06
-2.0,-3.08e-06
-1.8,-3.07e-06
-1.6,-3.06e-06
-1.4,-3.05e-06
-1.2,-3.03e-06
-1.0,-3.02e-06
-0.8,-3e-06
-0.6,-2.99e-06
-0.4,-2.98e-06
-0.2,-2.97e-06
0.0,-2.96e-06
0.2,-2.94e-06
0.4,-2.93e-06
0.6,-2.92e-06
0.8,-2.91e-06
1.0,-2.9e-06
1.2,-2.89e-06
1.4,-2.88e-06
1.6,-2.87e-06
1.8,-2.86e-06
2.0,-2.85e-06
2.2,-2.84e-06
2.4,-2.83e-06
2.6,-2.82e-06
2.8,-2.8e-06
3.0,-2.79e-06
3.2,-2.78e-06
3.4,-2.77e-06
3.6,-2.75e-06
3.8,-2.74e-06
4.0,-2.72e-06
4.2,-2.7e-06
4.4,-2.68e-06
4.6,-2.67e-06
4.8,-2.66e-06
5.0,-2.65e-06
5.2,-2.65e-06
5.4,-2.63e-06
5.6,-2.62e-06
5.8,-2.6e-06
6.0,-2.58e-06
6.2,-2.56e-06
6.4,-2.54e-06
6.6,-2.53e-06
6.8,-2.53e-06
7.0,-2.52e-06
7.2,-2.5e-06
7.4,-2.48e-06
7.6,-2.45e-06
7.8,-2.43e-06
8.0,-2.4e-06
8.2,-2.37e-06
8.4,-2.35e-06
8.6,-2.31e-06
8.8,-2.28e-06
9.0,-2.26e-06
9.2,-2.23e-06
9.4,-2.21e-06
9.6,-2.2e-06
9.8,-2.19e-06
10.0,-2.17e-06
10.2,-2.13e-06
10.4,-2.1e-06
10.6,-2.06e-06
10.8,-2.04e-06
11.0,-2.01e-06
11.2,-1.99e-06
11.4,-1.98e-06
11.6,-1.91e-06
11.8,-1.78e-06
12.0,-1.89e-06
12.2,-1.86e-06
12.4,-1.84e-06
12.6,-1.82e-06
12.8,-1.79e-06
13.0,-1.77e-06
13.2,-1.74e-06
13.4,-1.59e-06
13.6,-1.55e-06
13.8,-1.63e-06
14.0,-1.6e-06
14.2,-1.57e-06
14.4,-1.54e-06
14.6,-1.51e-06
14.8,-1.48e-06
15.0,-1.45e-06
15.2,-1.41e-06
15.4,-1.38e-06
15.6,-1.35e-06
15.8,-1.31e-06
16.0,-1.28e-06
16.2,-1.25e-06
16.4,-1.22e-06
16.6,-1.19e-06
16.8,-1.15e-06
17.0,-1.12e-06
17.2,-1.08e-06
17.4,-1.04e-06
17.6,-1.01e-06
17.8,-9.8e-07
18.0,-9.5e-07
18.2,-9.2e-07
18.4,-8.9e-07
18.6,-8.5e-07
