V(V),I(A)
-10.0,-3.9e-07
-9.8,-5.7e-07
-9.6,-5e-07
-9.4,-5.2e-07
-9.2,-5.3e-07
-9.0,-5.2e-07
-8.8,-5.2e-07
-8.6,-5.2e-07
-8.4,-5.1e-07
-8.2,-5e-07
-8.0,-5e-07
-7.8,-5e-07
-7.6,-4.9e-07
-7.4,-4.8e-07
-7.2,-4.8e-07
-7.0,-4.7e-07
-6.8,-4.7e-07
-6.6,-4.6e-07
-6.4,-4.6e-07
-6.2,-4.5e-07
-6.0,-4.4e-07
-5.8,-4.3e-07
-5.6,-4.2e-07
-5.4,-4.2e-07
-5.2,-4.1e-07
-5.0,-4e-07
-4.8,-3.9e-07
-4.6,-3.9e-07
-4.4,-3.8e-07
-4.2,-3.7e-07
-4.0,-3.6e-07
-3.8,-3.5e-07
-3.6,-3.4e-07
-3.4,-3.3e-07
-3.2,-3.3e-07
-3.0,-3.2e-07
-2.8,-3.1e-07
-2.6,-3e-07
-2.4,-2.8e-07
-2.2,-2.8e-07
-2.0,-2.7e-07
-1.8,-2.6e-07
-1.6,-2.5e-07
-1.4,-2.5e-07
-1.2,-2.5e-07
-1.0,-2.4e-07
-0.8,-2.3e-07
-0.6,-2.2e-07
-0.4,-2.2e-07
-0.2,-2.1e-07
0.0,-2e-07
0.2,-2e-07
0.4,-2e-07
0.6,-1.9e-07
0.8,-1.8e-07
1.0,-1.8e-07
1.2,-1.7e-07
1.4,-1.7e-07
1.6,-1.6e-07
1.8,-1.5e-07
2.0,-1.5e-07
2.2,-1.4e-07
2.4,-1.3e-07
2.6,-1.2e-07
2.8,-1.1e-07
3.0,-1e-07
3.2,-8e-08
3.4,-6e-08
3.6,-4e-08
3.8,-2e-08
4.0,1e-08
4.2,4e-08
4.4,8e-08
4.6,1.2e-07
4.8,1.6e-07
5.0,2.1e-07
5.2,2.7e-07
5.4,3.2e-07
5.6,3.7e-07
5.8,4.2e-07
6.0,4.7e-07
6.2,5.3e-07
6.4,5.8e-07
6.6,6.3e-07
6.8,6.8e-07
7.0,7.3e-07
7.2,7.7e-07
7.4,8.1e-07
7.6,8.6e-07
7.8,9e-07
8.0,9.5e-07
8.2,1.01e-06
8.4,1.1e-06
8.6,1.24e-06
8.8,1.48e-06
9.0,1.8e-06
9.2,2.17e-06
9.4,2.59e-06
9.6,3.06e-06
9.8,3.57e-06
10.0,4.14e-06
10.2,4.67e-06
10.4,5.18e-06
10.6,5.83e-06
10.8,6.55e-06
11.0,7.36e-06
11.2,8.25e-06
11.4,9.25e-06
11.6,1.035e-05
11.8,1.157e-05
12.0,1.297e-05
12.2,1.455e-05
12.4,1.634e-05
12.6,1.831e-05
13.2,2.48e-05
13.4,2.66e-05
13.6,2.87e-05
13.8,3.07e-05
14.0,3.27e-05
14.2,3.47e-05
14.4,3.67e-05
14.6,3.86e-05
14.8,4.05e-05
15.0,4.23e-05
15.2,4.42e-05
15.4,4.6e-05
15.6,4.79e-05
15.8,4.97e-05
16.0,5.14e-05
16.2,5.32e-05
16.4,5.49e-05
16.6,5.66e-05
16.8,5.82e-05
17.0,5.98e-05
17.2,6.14e-05
17.4,6.29e-05
17.6,6.45e-05
17.8,6.61e-05
18.0,6.76e-05
18.2,6.91e-05
18.4,7.06e-05
18.6,7.21e-05
18.8,7.36e-05
19.0,7.51e-05
19.2,7.65e-05
19.4,7.79e-05
19.6,7.93e-05
19.8,8.06e-05
20.0,8.19e-05
20.2,8.32e-05
20.4,8.45e-05
20.6,8.57e-05
20.8,8.69e-05
21.0,8.81e-05
21.2,8.93e-05
21.4,9.04e-05
21.6,9.16e-05
21.8,9.27e-05
22.0,9.38e-05
22.2,9.49e-05
22.4,9.6e-05
22.6,9.71e-05
22.8,9.81e-05
23.0,9.92e-05
23.2,0.0001003
23.4,0.0001014
23.6,0.0001025
23.8,0.0001037
24.0,0.0001048
24.2,0.000106
24.4,0.0001073
24.6,0.0001086
24.8,0.0001099
25.0,0.0001113
