V(V),I(A)
-10.0,-1.18e-06
-9.8,-1.34e-06
-9.6,-1.27e-06
-9.4,-1.27e-06
-9.2,-1.28e-06
-9.0,-1.29e-06
-8.8,-1.28e-06
-8.6,-1.28e-06
-8.4,-1.27e-06
-8.2,-1.27e-06
-8.0,-1.26e-06
-7.8,-1.25e-06
-7.6,-1.24e-06
-7.4,-1.23e-06
-7.2,-1.23e-06
-7.0,-1.23e-06
-6.8,-1.22e-06
-6.6,-1.21e-06
-6.4,-1.21e-06
-6.2,-1.2e-06
-6.0,-1.19e-06
-5.8,-1.18e-06
-5.6,-1.17e-06
-5.4,-1.17e-06
-5.2,-1.16e-06
-5.0,-1.16e-06
-4.8,-1.15e-06
-4.6,-1.14e-06
-4.4,-1.14e-06
-4.2,-1.13e-06
-4.0,-1.12e-06
-3.8,-1.11e-06
-3.6,-1.11e-06
-3.4,-1.1e-06
-3.2,-1.1e-06
-3.0,-1.09e-06
-2.8,-1.09e-06
-2.6,-1.08e-06
-2.4,-1.07e-06
-2.2,-1.06e-06
-2.0,-1.06e-06
-1.8,-1.05e-06
-1.6,-1.04e-06
-1.4,-1.04e-06
-1.2,-1.03e-06
-1.0,-1.03e-06
-0.8,-1.02e-06
-0.6,-1.01e-06
-0.4,-1.01e-06
-0.2,-1e-06
0.0,-1e-06
0.2,-9.9e-07
0.4,-9.9e-07
0.6,-9.9e-07
0.8,-9.8e-07
1.0,-9.8e-07
1.2,-9.7e-07
1.4,-9.7e-07
1.6,-9.6e-07
1.8,-9.6e-07
2.0,-9.5e-07
2.2,-9.5e-07
2.4,-9.4e-07
2.6,-9.3e-07
2.8,-9.3e-07
3.0,-9.2e-07
3.2,-9.2e-07
3.4,-9.1e-07
3.6,-9e-07
3.8,-9e-07
4.0,-8.9e-07
4.2,-8.8e-07
4.4,-8.8e-07
4.6,-8.7e-07
4.8,-8.6e-07
5.0,-8.6e-07
5.2,-8.5e-07
5.4,-8.4e-07
5.6,-8.3e-07
5.8,-8.2e-07
6.0,-8.1e-07
6.2,-8e-07
6.4,-7.8e-07
6.6,-7.7e-07
6.8,-7.7e-07
7.0,-7.6e-07
7.2,-7.5e-07
7.4,-7.5e-07
7.6,-7.4e-07
7.8,-7.3e-07
8.0,-7.2e-07
8.2,-7.1e-07
8.4,-7.1e-07
8.6,-7e-07
8.8,-6.9e-07
9.0,-6.8e-07
9.2,-6.8e-07
9.4,-6.7e-07
9.6,-6.5e-07
9.8,-6.4e-07
10.0,-6.2e-07
10.2,-6.2e-07
10.4,-6.1e-07
10.6,-6e-07
10.8,-5.9e-07
11.0,-5.8e-07
11.2,-5.7e-07
11.4,-5.6e-07
11.6,-5.4e-07
11.8,-5.3e-07
12.0,-5.1e-07
12.2,-4.9e-07
12.4,-4.8e-07
12.6,-4.7e-07
12.8,-4.6e-07
13.0,-4.5e-07
13.2,-4.4e-07
13.4,-4.2e-07
13.6,-4.1e-07
13.8,-4.1e-07
14.0,-4e-07
14.2,-3.9e-07
14.4,-3.8e-07
14.6,-3.7e-07
14.8,-3.7e-07
15.0,-3.5e-07
15.2,-3.4e-07
15.4,-3.3e-07
15.6,-3.2e-07
15.8,-3e-07
16.0,-2.9e-07
16.2,-2.7e-07
16.4,-2.6e-07
16.6,-2.4e-07
16.8,-2.3e-07
17.0,-2.1e-07
17.2,-2e-07
17.4,-1.8e-07
17.6,-1.7e-07
17.8,-1.5e-07
18.0,-1.4e-07
18.2,-1.1e-07
18.4,-1e-07
18.6,-9e-08
18.8,-8e-08
19.0,-7e-08
19.2,-5e-08
19.4,-3e-08
19.6,-1e-08
19.8,0.0
20.0,2e-08
20.2,3e-08
20.4,4e-08
20.6,5e-08
20.8,7e-08
21.0,9e-08
21.2,1.1e-07
21.4,1.1e-07
21.6,1.3e-07
21.8,1.5e-07
22.0,1.8e-07
22.2,2e-07
22.4,2.2e-07
22.6,2.5e-07
22.8,2.8e-07
23.0,3.4e-07
23.2,3.6e-07
23.4,3.6e-07
23.6,3.6e-07
23.8,3.7e-07
24.0,3.9e-07
24.2,4e-07
24.4,4.2e-07
24.6,4.4e-07
24.8,4.6e-07
25.0,4.8e-07
