V(V),I(A)
-10.0,-7.2e-06
-9.8,-8.4e-06
-9.6,-8.58e-06
-9.4,-8.54e-06
-9.2,-8.51e-06
-9.0,-8.47e-06
-8.8,-8.43e-06
-8.6,-8.4e-06
-8.4,-8.36e-06
-8.2,-8.32e-06
-8.0,-8.28e-06
-7.8,-8.24e-06
-7.6,-8.2e-06
-7.4,-8.16e-06
-7.2,-8.12e-06
-7.0,-8.08e-06
-6.8,-8.04e-06
-6.6,-8.01e-06
-6.4,-7.97e-06
-6.2,-7.92e-06
-6.0,-7.88e-06
-5.8,-7.85e-06
-5.6,-7.8e-06
-5.4,-7.77e-06
-5.2,-7.74e-06
-5.0,-7.7e-06
-4.8,-7.66e-06
-4.6,-7.62e-06
-4.4,-7.57e-06
-4.2,-7.53e-06
-4.0,-7.5e-06
-3.8,-7.46e-06
-3.6,-7.42e-06
-3.4,-7.38e-06
-3.2,-7.34e-06
-3.0,-7.29e-06
-2.8,-7.25e-06
-2.6,-7.22e-06
-2.4,-7.18e-06
-2.2,-7.15e-06
-2.0,-7.11e-06
-1.8,-7.08e-06
-1.6,-7.04e-06
-1.4,-7.01e-06
-1.2,-6.96e-06
-1.0,-6.93e-06
-0.8,-6.89e-06
-0.6,-6.85e-06
-0.4,-6.81e-06
-0.2,-6.77e-06
0.0,-6.73e-06
0.2,-6.69e-06
0.4,-6.65e-06
0.6,-6.61e-06
0.8,-6.58e-06
1.0,-6.54e-06
1.2,-6.5e-06
1.4,-6.47e-06
1.6,-6.43e-06
1.8,-6.39e-06
2.0,-6.35e-06
2.2,-6.31e-06
2.4,-6.28e-06
2.6,-6.24e-06
2.8,-6.2e-06
3.0,-6.16e-06
3.2,-6.12e-06
3.4,-6.08e-06
3.6,-6.03e-06
3.8,-6e-06
4.0,-5.96e-06
4.2,-5.92e-06
4.4,-5.87e-06
4.6,-5.83e-06
4.8,-5.79e-06
5.0,-5.75e-06
5.2,-5.72e-06
5.4,-5.68e-06
5.6,-5.64e-06
5.8,-5.6e-06
6.0,-5.56e-06
6.2,-5.53e-06
6.4,-5.49e-06
6.6,-5.45e-06
6.8,-5.42e-06
7.0,-5.37e-06
7.2,-5.33e-06
7.4,-5.29e-06
7.6,-5.25e-06
7.8,-5.22e-06
8.0,-5.19e-06
8.2,-5.16e-06
8.4,-5.13e-06
8.6,-5.1e-06
8.8,-5.07e-06
9.0,-5.04e-06
9.2,-5.01e-06
9.4,-4.98e-06
9.6,-4.95e-06
9.8,-4.92e-06
10.0,-4.9e-06
10.2,-4.87e-06
10.4,-4.85e-06
10.6,-4.82e-06
10.8,-4.79e-06
11.0,-4.77e-06
11.2,-4.74e-06
11.4,-4.71e-06
11.6,-4.69e-06
11.8,-4.66e-06
12.0,-4.63e-06
12.2,-4.6e-06
12.4,-4.56e-06
12.6,-4.53e-06
12.8,-4.49e-06
13.0,-4.46e-06
13.2,-4.42e-06
13.4,-4.38e-06
13.6,-4.35e-06
13.8,-4.32e-06
14.0,-4.3e-06
14.2,-4.27e-06
14.4,-4.24e-06
14.6,-4.21e-06
14.8,-4.18e-06
15.0,-4.15e-06
15.2,-4.13e-06
15.4,-4.11e-06
15.6,-4.08e-06
15.8,-4.06e-06
16.0,-4.04e-06
16.2,-4.01e-06
16.4,-3.99e-06
16.6,-3.96e-06
16.8,-3.94e-06
17.0,-3.92e-06
17.2,-3.9e-06
17.4,-3.88e-06
17.6,-3.85e-06
17.8,-3.83e-06
18.0,-3.8e-06
18.2,-3.77e-06
18.4,-3.74e-06
18.6,-3.72e-06
18.8,-3.7e-06
19.0,-3.68e-06
19.2,-3.66e-06
19.4,-3.64e-06
19.6,-3.63e-06
19.8,-3.61e-06
20.0,-3.59e-06
20.2,-3.57e-06
20.4,-3.54e-06
20.6,-3.52e-06
20.8,-3.49e-06
21.0,-3.46e-06
21.2,-3.43e-06
21.4,-3.4e-06
21.6,-3.38e-06
21.8,-3.35e-06
22.0,-3.33e-06
22.2,-3.32e-06
22.4,-3.31e-06
22.6,-3.29e-06
22.8,-3.28e-06
23.0,-3.26e-06
23.2,-3.24e-06
23.4,-3.22e-06
23.6,-3.2e-06
23.8,-3.17e-06
24.0,-3.15e-06
24.2,-3.13e-06
24.4,-3.11e-06
24.6,-3.08e-06
24.8,-3.06e-06
25.0,-3.04e-06
25.2,-3.01e-06
25.4,-2.98e-06
25.6,-2.94e-06
25.8,-2.91e-06
26.0,-2.87e-06
26.2,-2.84e-06
26.4,-2.8e-06
26.6,-2.76e-06
26.8,-2.73e-06
27.0,-2.7e-06
27.2,-2.67e-06
27.4,-2.64e-06
27.6,-2.6e-06
27.8,-2.57e-06
28.0,-2.53e-06
28.2,-2.51e-06
28.4,-2.5e-06
28.6,-2.49e-06
28.8,-2.46e-06
29.0,-2.44e-06
29.2,-2.45e-06
29.4,-2.44e-06
29.6,-2.41e-06
29.8,-2.39e-06
30.0,-2.37e-06
30.2,-2.35e-06
30.4,-2.33e-06
30.6,-2.3e-06
30.8,-2.3e-06
31.0,-2.28e-06
31.2,-2.26e-06
31.4,-2.25e-06
31.6,-2.23e-06
31.8,-2.21e-06
32.0,-2.19e-06
32.2,-2.17e-06
