V(V),I(A)
-10.0,-1e-08
-10.0,-1.25e-06
-9.8,-2.16e-06
-9.6,-2.13e-06
-9.4,-2.09e-06
-9.2,-2.05e-06
-9.0,-2.02e-06
-8.8,-1.98e-06
-8.6,-1.94e-06
-8.4,-1.91e-06
-8.2,-1.88e-06
-8.0,-1.84e-06
-7.8,-1.8e-06
-7.6,-1.77e-06
-7.4,-1.73e-06
-7.2,-1.7e-06
-7.0,-1.66e-06
-6.8,-1.63e-06
-6.6,-1.59e-06
-6.4,-1.55e-06
-6.2,-1.51e-06
-6.0,-1.48e-06
-5.8,-1.44e-06
-5.6,-1.4e-06
-5.4,-1.36e-06
-5.2,-1.32e-06
-5.0,-1.29e-06
-4.8,-1.25e-06
-4.6,-1.21e-06
-4.4,-1.17e-06
-4.2,-1.13e-06
-4.0,-1.1e-06
-3.8,-1.06e-06
-3.6,-1.02e-06
-3.4,-9.7e-07
-3.2,-9.3e-07
-3.0,-8.9e-07
-2.8,-8.5e-07
-2.6,-8e-07
-2.4,-7.5e-07
-2.2,-7.1e-07
-2.0,-6.5e-07
-1.8,-5.9e-07
-1.6,-5.3e-07
-1.4,-4.7e-07
-1.2,-4.1e-07
-1.0,-3.4e-07
-0.8,-2.6e-07
-0.6,-1.9e-07
-0.4,-1.2e-07
-0.2,-4e-08
0.0,4e-08
0.2,1.2e-07
0.4,2e-07
0.6,2.8e-07
0.8,3.6e-07
1.0,4.4e-07
1.2,5.2e-07
1.4,6e-07
1.6,6.7e-07
1.8,7.4e-07
2.0,8.1e-07
2.2,8.9e-07
2.4,9.6e-07
2.6,1.03e-06
2.8,1.11e-06
3.0,1.18e-06
3.2,1.26e-06
3.4,1.34e-06
3.6,1.45e-06
3.8,1.59e-06
4.0,1.79e-06
4.2,2.04e-06
4.4,2.33e-06
4.6,2.65e-06
4.8,3.02e-06
5.0,3.39e-06
5.2,3.78e-06
5.4,4.19e-06
5.6,4.63e-06
5.8,5.11e-06
6.0,5.61e-06
6.2,6.16e-06
6.4,6.7e-06
6.6,7.29e-06
6.8,7.91e-06
7.0,8.56e-06
7.2,9.27e-06
7.4,1.003e-05
7.6,1.088e-05
7.8,1.176e-05
8.0,1.271e-05
8.2,1.375e-05
8.4,1.489e-05
8.6,1.623e-05
8.8,1.768e-05
9.0,1.926e-05
9.6,2.47e-05
9.8,2.65e-05
10.0,2.86e-05
10.2,3.03e-05
10.4,3.24e-05
10.6,3.43e-05
10.8,3.62e-05
11.0,3.83e-05
11.2,4.01e-05
11.4,4.22e-05
11.6,4.41e-05
11.8,4.61e-05
12.0,4.81e-05
12.2,5.01e-05
12.4,5.21e-05
12.6,5.41e-05
12.8,5.61e-05
13.0,5.81e-05
13.2,6.02e-05
13.4,6.22e-05
13.6,6.42e-05
13.8,6.62e-05
14.0,6.82e-05
14.2,7.02e-05
14.4,7.21e-05
14.6,7.4e-05
14.8,7.59e-05
15.0,7.79e-05
15.2,7.98e-05
15.4,8.18e-05
15.6,8.37e-05
15.8,8.57e-05
16.0,8.76e-05
16.2,8.95e-05
16.4,9.14e-05
16.6,9.34e-05
16.8,9.53e-05
17.0,9.72e-05
17.2,9.92e-05
17.4,0.0001011
17.6,0.000103
17.8,0.000105
18.0,0.0001069
18.2,0.0001088
18.4,0.0001107
18.6,0.0001125
18.8,0.0001144
19.0,0.0001163
19.2,0.0001182
19.4,0.00012
19.6,0.0001219
19.8,0.0001238
20.0,0.0001257
20.2,0.0001276
20.4,0.0001295
20.6,0.0001314
20.8,0.0001333
21.0,0.0001352
21.2,0.0001371
21.4,0.000139
21.6,0.000141
21.8,0.000143
22.0,0.000145
22.2,0.0001471
22.4,0.0001492
22.6,0.0001513
22.8,0.0001535
23.0,0.0001557
23.2,0.000158
23.4,0.0001604
23.6,0.0001629
23.8,0.0001653
24.0,0.0001678
24.2,0.0001705
24.4,0.0001733
24.6,0.0001761
24.8,0.0001791
25.0,0.0001823
25.2,0.0001857
25.4,0.0001891
25.6,0.0001928
25.8,0.0001968
26.8,0.000218
27.0,0.000223
27.2,0.000229
27.4,0.000236
27.6,0.000243
27.8,0.000251
28.0,0.000259
28.2,0.000268
28.4,0.000277
28.6,0.000287
28.8,0.000298
29.0,0.000309
29.2,0.000321
29.4,0.000333
29.6,0.000345
29.8,0.000358
30.0,0.000371
