V(V),I(A)
-10.0,-7e-08
-10.0,-3.1e-07
-9.8,-2.7e-07
-9.6,-2.8e-07
-9.4,-2.8e-07
-9.2,-2.8e-07
-9.0,-2.8e-07
-8.8,-2.8e-07
-8.6,-2.8e-07
-8.4,-2.8e-07
-8.2,-2.7e-07
-8.0,-2.7e-07
-7.8,-2.6e-07
-7.6,-2.6e-07
-7.4,-2.6e-07
-7.2,-2.6e-07
-7.0,-2.5e-07
-6.8,-2.4e-07
-6.6,-2.4e-07
-6.4,-2.3e-07
-6.2,-2.3e-07
-6.0,-2.2e-07
-5.8,-2.2e-07
-5.6,-2.2e-07
-5.4,-2.1e-07
-5.2,-2.1e-07
-5.0,-2e-07
-4.8,-2e-07
-4.6,-1.9e-07
-4.4,-1.8e-07
-4.2,-1.8e-07
-4.0,-1.7e-07
-3.8,-1.7e-07
-3.6,-1.7e-07
-3.4,-1.6e-07
-3.2,-1.6e-07
-3.0,-1.5e-07
-2.8,-1.5e-07
-2.6,-1.4e-07
-2.4,-1.4e-07
-2.2,-1.4e-07
-2.0,-1.3e-07
-1.8,-1.3e-07
-1.6,-1.2e-07
-1.4,-1.2e-07
-1.2,-1.1e-07
-1.0,-1e-07
-0.8,-1e-07
-0.6,-9e-08
-0.4,-9e-08
-0.2,-8e-08
0.0,-7e-08
0.2,-6e-08
0.4,-5e-08
0.6,-4e-08
0.8,-2e-08
1.0,0.0
1.2,2e-08
1.4,5e-08
1.6,8e-08
1.8,1.1e-07
2.0,1.4e-07
2.2,1.8e-07
2.4,2.2e-07
2.6,2.7e-07
2.8,3.1e-07
3.0,3.6e-07
3.2,4.1e-07
3.4,4.6e-07
3.6,5.1e-07
3.8,5.7e-07
4.0,6.2e-07
4.2,6.7e-07
4.4,7.2e-07
4.6,7.7e-07
4.8,8.3e-07
5.0,8.8e-07
5.2,9.4e-07
5.4,1e-06
5.6,1.07e-06
5.8,1.18e-06
6.0,1.36e-06
6.2,1.65e-06
6.4,2.02e-06
6.6,2.46e-06
6.8,2.95e-06
7.0,3.51e-06
7.2,4.14e-06
7.4,4.79e-06
7.6,5.44e-06
7.8,6.12e-06
8.0,6.82e-06
8.2,7.53e-06
8.4,8.25e-06
8.6,8.94e-06
8.8,9.6e-06
9.0,1.027e-05
9.2,1.094e-05
9.4,1.163e-05
9.6,1.232e-05
9.8,1.298e-05
10.0,1.364e-05
10.2,1.427e-05
10.4,1.494e-05
10.6,1.56e-05
10.8,1.626e-05
11.0,1.689e-05
11.2,1.752e-05
11.4,1.815e-05
11.6,1.877e-05
11.8,1.941e-05
12.4,2.12e-05
12.6,2.17e-05
12.8,2.24e-05
13.0,2.3e-05
13.2,2.36e-05
13.4,2.42e-05
13.6,2.48e-05
13.8,2.54e-05
14.0,2.6e-05
14.2,2.66e-05
14.4,2.72e-05
14.6,2.79e-05
14.8,2.85e-05
15.0,2.91e-05
15.2,2.97e-05
15.4,3.03e-05
15.6,3.09e-05
15.8,3.15e-05
16.0,3.21e-05
16.2,3.27e-05
16.4,3.34e-05
16.6,3.39e-05
16.8,3.45e-05
17.0,3.5e-05
17.2,3.56e-05
17.4,3.61e-05
17.6,3.67e-05
17.8,3.72e-05
18.0,3.78e-05
18.2,3.84e-05
18.4,3.89e-05
18.6,3.95e-05
18.8,4e-05
19.0,4.06e-05
19.2,4.12e-05
19.4,4.17e-05
19.6,4.23e-05
19.8,4.29e-05
20.0,4.36e-05
20.2,4.42e-05
20.4,4.49e-05
20.6,4.56e-05
20.8,4.63e-05
21.0,4.7e-05
21.2,4.77e-05
21.4,4.86e-05
21.6,4.94e-05
21.8,5.03e-05
22.0,5.12e-05
22.2,5.22e-05
22.4,5.32e-05
22.6,5.43e-05
22.8,5.54e-05
23.0,5.66e-05
23.2,5.79e-05
23.4,5.92e-05
23.6,6.06e-05
23.8,6.21e-05
24.0,6.37e-05
24.2,6.54e-05
24.4,6.72e-05
24.6,6.9e-05
24.8,7.11e-05
25.0,7.33e-05
