V(V),I(A)
-10.0,-2.3e-07
-9.8,-5.3e-07
-9.6,-4.8e-07
-9.4,-4.8e-07
-9.2,-4.7e-07
-9.0,-4.6e-07
-8.8,-4.6e-07
-8.6,-4.5e-07
-8.4,-4.4e-07
-8.2,-4.4e-07
-8.0,-4.3e-07
-7.8,-4.2e-07
-7.6,-4.2e-07
-7.4,-4.1e-07
-7.2,-4e-07
-7.0,-3.9e-07
-6.8,-3.9e-07
-6.6,-3.8e-07
-6.4,-3.7e-07
-6.2,-3.7e-07
-6.0,-3.6e-07
-5.8,-3.5e-07
-5.6,-3.4e-07
-5.4,-3.3e-07
-5.2,-3.2e-07
-5.0,-3.1e-07
-4.8,-3.1e-07
-4.6,-3e-07
-4.4,-2.9e-07
-4.2,-2.8e-07
-4.0,-2.7e-07
-3.8,-2.7e-07
-3.6,-2.6e-07
-3.4,-2.5e-07
-3.2,-2.4e-07
-3.0,-2.3e-07
-2.8,-2.2e-07
-2.6,-2.1e-07
-2.4,-2.1e-07
-2.2,-2e-07
-2.0,-1.9e-07
-1.8,-1.8e-07
-1.6,-1.6e-07
-1.4,-1.5e-07
-1.2,-1.4e-07
-1.0,-1.2e-07
-0.8,-9e-08
-0.6,-7e-08
-0.4,-4e-08
-0.2,0.0
0.0,4e-08
0.2,8e-08
0.4,1.3e-07
0.6,1.8e-07
0.8,2.4e-07
1.0,3.1e-07
1.2,3.7e-07
1.4,4.3e-07
1.6,5e-07
1.8,5.7e-07
2.0,6.4e-07
2.2,7.1e-07
2.4,7.7e-07
2.6,8.4e-07
2.8,9e-07
3.0,9.7e-07
3.2,1.04e-06
3.4,1.1e-06
3.6,1.16e-06
3.8,1.23e-06
4.0,1.29e-06
4.2,1.36e-06
4.4,1.42e-06
4.6,1.49e-06
4.8,1.56e-06
5.0,1.63e-06
5.2,1.71e-06
5.4,1.81e-06
5.6,1.94e-06
5.8,2.11e-06
6.0,2.34e-06
6.2,2.66e-06
6.4,3.07e-06
6.6,3.59e-06
6.8,4.17e-06
7.0,4.85e-06
7.2,5.57e-06
7.4,6.36e-06
7.6,7.3e-06
7.8,8.35e-06
8.0,9.44e-06
8.2,1.065e-05
8.4,1.193e-05
8.6,1.326e-05
8.8,1.465e-05
9.0,1.605e-05
9.2,1.747e-05
9.4,1.889e-05
10.0,2.32e-05
10.2,2.43e-05
10.4,2.55e-05
10.6,2.69e-05
10.8,2.82e-05
11.0,2.96e-05
11.2,3.1e-05
11.4,3.23e-05
11.6,3.36e-05
11.8,3.5e-05
12.0,3.63e-05
12.2,3.76e-05
12.4,3.9e-05
12.6,4.03e-05
12.8,4.15e-05
13.0,4.28e-05
13.2,4.41e-05
13.4,4.53e-05
13.6,4.66e-05
13.8,4.78e-05
14.0,4.91e-05
14.2,5.03e-05
14.4,5.16e-05
14.6,5.29e-05
14.8,5.41e-05
15.0,5.53e-05
15.2,5.65e-05
15.4,5.76e-05
15.6,5.88e-05
15.8,5.99e-05
16.0,6.1e-05
16.2,6.22e-05
16.4,6.33e-05
16.6,6.44e-05
16.8,6.55e-05
17.0,6.66e-05
17.2,6.76e-05
17.4,6.87e-05
17.6,6.98e-05
17.8,7.09e-05
18.0,7.19e-05
18.2,7.29e-05
18.4,7.4e-05
18.6,7.5e-05
18.8,7.61e-05
19.0,7.72e-05
19.2,7.83e-05
19.4,7.93e-05
19.6,8.04e-05
19.8,8.16e-05
20.0,8.28e-05
20.2,8.4e-05
20.4,8.53e-05
20.6,8.67e-05
20.8,8.81e-05
21.0,8.96e-05
21.2,9.13e-05
21.4,9.3e-05
21.6,9.48e-05
21.8,9.68e-05
22.0,9.89e-05
22.2,0.0001011
22.4,0.0001036
22.6,0.0001062
22.8,0.0001089
23.0,0.0001118
23.2,0.0001149
23.4,0.0001182
23.6,0.0001217
23.8,0.0001253
24.0,0.0001293
24.2,0.0001337
24.4,0.0001384
24.6,0.0001438
24.8,0.0001494
25.0,0.0001554
