V(V),I(A)
-10.0,-4e-07
-9.8,-5.8e-07
-9.6,-5.2e-07
-9.4,-5.4e-07
-9.2,-5.4e-07
-9.0,-5.3e-07
-8.8,-5.3e-07
-8.6,-5.3e-07
-8.4,-5.2e-07
-8.2,-5.1e-07
-8.0,-5.1e-07
-7.8,-5.1e-07
-7.6,-5e-07
-7.4,-4.9e-07
-7.2,-4.8e-07
-7.0,-4.8e-07
-6.8,-4.8e-07
-6.6,-4.7e-07
-6.4,-4.6e-07
-6.2,-4.6e-07
-6.0,-4.5e-07
-5.8,-4.4e-07
-5.6,-4.3e-07
-5.4,-4.2e-07
-5.2,-4.2e-07
-5.0,-4.1e-07
-4.8,-4e-07
-4.6,-3.9e-07
-4.4,-3.9e-07
-4.2,-3.8e-07
-4.0,-3.7e-07
-3.8,-3.6e-07
-3.6,-3.5e-07
-3.4,-3.4e-07
-3.2,-3.3e-07
-3.0,-3.3e-07
-2.8,-3.2e-07
-2.6,-3.1e-07
-2.4,-3e-07
-2.2,-2.9e-07
-2.0,-2.9e-07
-1.8,-2.8e-07
-1.6,-2.7e-07
-1.4,-2.7e-07
-1.2,-2.6e-07
-1.0,-2.5e-07
-0.8,-2.4e-07
-0.6,-2.4e-07
-0.4,-2.3e-07
-0.2,-2.2e-07
0.0,-2.2e-07
0.2,-2.1e-07
0.4,-2.1e-07
0.6,-2e-07
0.8,-2e-07
1.0,-2e-07
1.2,-1.9e-07
1.4,-1.9e-07
1.6,-1.8e-07
1.8,-1.8e-07
2.0,-1.7e-07
2.2,-1.6e-07
2.4,-1.6e-07
2.6,-1.5e-07
2.8,-1.3e-07
3.0,-1.2e-07
3.2,-1.1e-07
3.4,-1e-07
3.6,-9e-08
3.8,-7e-08
4.0,-5e-08
4.2,-3e-08
4.4,-1e-08
4.6,2e-08
4.8,5e-08
5.0,9e-08
5.2,1.3e-07
5.4,1.8e-07
5.6,2.2e-07
5.8,2.7e-07
6.0,3.3e-07
6.2,3.8e-07
6.4,4.3e-07
6.6,4.8e-07
6.8,5.4e-07
7.0,5.9e-07
7.2,6.3e-07
7.4,6.8e-07
7.6,7.3e-07
7.8,7.7e-07
8.0,8.1e-07
8.2,8.5e-07
8.4,9e-07
8.6,9.4e-07
8.8,1e-06
9.0,1.06e-06
9.2,1.16e-06
9.4,1.31e-06
9.6,1.54e-06
9.8,1.83e-06
10.0,2.17e-06
10.2,2.49e-06
10.4,2.83e-06
10.6,3.27e-06
10.8,3.76e-06
11.0,4.31e-06
11.2,4.94e-06
11.4,5.62e-06
11.6,6.36e-06
11.8,7.16e-06
12.0,8.05e-06
12.2,9.03e-06
12.4,1.007e-05
12.6,1.123e-05
12.8,1.258e-05
13.0,1.405e-05
13.2,1.573e-05
13.4,1.772e-05
13.6,1.99e-05
14.2,2.65e-05
14.4,2.84e-05
14.6,3.05e-05
14.8,3.26e-05
15.0,3.46e-05
15.2,3.65e-05
15.4,3.85e-05
15.6,4.04e-05
15.8,4.23e-05
16.0,4.42e-05
16.2,4.59e-05
16.4,4.77e-05
16.6,4.95e-05
16.8,5.12e-05
17.0,5.3e-05
17.2,5.46e-05
17.4,5.63e-05
17.6,5.79e-05
17.8,5.95e-05
18.0,6.11e-05
18.2,6.27e-05
18.4,6.43e-05
18.6,6.58e-05
18.8,6.73e-05
19.0,6.89e-05
19.2,7.04e-05
19.4,7.19e-05
19.6,7.33e-05
19.8,7.48e-05
20.0,7.62e-05
20.2,7.77e-05
20.4,7.91e-05
20.6,8.04e-05
20.8,8.17e-05
21.0,8.31e-05
21.2,8.44e-05
21.4,8.56e-05
21.6,8.69e-05
21.8,8.81e-05
22.0,8.93e-05
22.2,9.04e-05
22.4,9.16e-05
22.6,9.27e-05
22.8,9.38e-05
23.0,9.5e-05
23.2,9.61e-05
23.4,9.71e-05
23.6,9.82e-05
23.8,9.93e-05
24.0,0.0001004
24.2,0.0001015
24.4,0.0001026
24.6,0.0001037
24.8,0.0001049
25.0,0.0001062
