V(V),I(A)
-10.0,-1.96e-06
-9.8,-2.61e-06
-9.6,-2.66e-06
-9.4,-2.64e-06
-9.2,-2.61e-06
-9.0,-2.58e-06
-8.8,-2.56e-06
-8.6,-2.54e-06
-8.4,-2.52e-06
-8.2,-2.49e-06
-8.0,-2.46e-06
-7.8,-2.43e-06
-7.6,-2.41e-06
-7.4,-2.39e-06
-7.2,-2.36e-06
-7.0,-2.34e-06
-6.8,-2.32e-06
-6.6,-2.29e-06
-6.4,-2.27e-06
-6.2,-2.25e-06
-6.0,-2.22e-06
-5.8,-2.2e-06
-5.6,-2.18e-06
-5.4,-2.15e-06
-5.2,-2.13e-06
-5.0,-2.11e-06
-4.8,-2.08e-06
-4.6,-2.06e-06
-4.4,-2.04e-06
-4.2,-2.02e-06
-4.0,-2e-06
-3.8,-1.98e-06
-3.6,-1.96e-06
-3.4,-1.94e-06
-3.2,-1.91e-06
-3.0,-1.89e-06
-2.8,-1.87e-06
-2.6,-1.85e-06
-2.4,-1.83e-06
-2.2,-1.81e-06
-2.0,-1.79e-06
-1.8,-1.77e-06
-1.6,-1.75e-06
-1.4,-1.73e-06
-1.2,-1.71e-06
-1.0,-1.69e-06
-0.8,-1.67e-06
-0.6,-1.65e-06
-0.4,-1.63e-06
-0.2,-1.61e-06
0.0,-1.59e-06
0.2,-1.57e-06
0.4,-1.55e-06
0.6,-1.53e-06
0.8,-1.51e-06
1.0,-1.49e-06
1.2,-1.47e-06
1.4,-1.45e-06
1.6,-1.44e-06
1.8,-1.42e-06
2.0,-1.4e-06
2.2,-1.38e-06
2.4,-1.36e-06
2.6,-1.34e-06
2.8,-1.32e-06
3.0,-1.3e-06
3.2,-1.29e-06
3.4,-1.27e-06
3.6,-1.25e-06
3.8,-1.23e-06
4.0,-1.21e-06
4.2,-1.19e-06
4.4,-1.17e-06
4.6,-1.15e-06
4.8,-1.13e-06
5.0,-1.12e-06
5.2,-1.1e-06
5.4,-1.08e-06
5.6,-1.06e-06
5.8,-1.04e-06
